YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-8.4,-3.85,-5.92,-0.69,-2.96,-3.84,-2.52,-6.72,-9.92,-10.27,-4.77,-1.67,1.84,0.06,6.3,4.87,12.44,4.46,2.39,3.94,6.02,-5.78,-4.59,5.03,0.49,5.98,0.51
1950,2,-6.77,-2.55,-6.04,-0.37,-4,-6.26,-4.6,-8.67,-12.74,-14,-7.53,-4.02,1.61,-0.85,6.72,5.19,13.28,3.6,1.07,3.31,6.39,-7.34,-8.15,4.87,0.93,6.75,-1.01
1950,3,-0.85,2.85,0.73,5.17,2.89,4.29,3.73,-0.92,-1.27,-0.55,2.83,6.03,7.49,5.94,11.84,9.93,16.06,10.49,8.41,10.87,12.14,-0.98,0.4,7.73,4.42,8.41,4.99
1950,4,3.76,6.22,4.01,7.39,5.15,7.05,6.12,3.5,3.97,5.28,7.33,8.69,8.76,7.1,13.96,11.93,17.62,12.51,10.41,13.03,14.57,2.56,4.92,10.05,7.14,10.19,8.7
1950,5,10.07,13.16,12.19,16.63,15.09,16.75,16.11,11.25,11.89,11.99,14.8,17.66,18.28,16.89,20.17,19.61,22.08,19.5,18.31,19.68,20.23,8.37,9.13,14.63,12.27,14.85,11.76
1950,6,15.25,17.55,17.27,20.33,19.13,21.8,20.86,16.67,16.52,16.56,20.54,22.78,22.24,20.89,24.96,23.94,24.79,24.69,23.76,24.95,24.41,13.22,12.41,17.61,15.1,15.59,12.1
1950,7,17.37,19.41,18.95,21.89,20.29,22.87,21.66,18.71,18.73,19.83,24.03,24.05,22.62,21.48,25.07,24.44,25.31,24.74,24.23,25.91,25.49,17.79,17.88,21.83,19.53,19.8,16.64
1950,8,14.82,17.15,16.17,19.62,17.63,20.98,19.42,16.36,16.91,19.25,22.93,22.66,20.35,19.07,24.29,22.54,24.64,23.57,22.54,24.83,25.02,17.22,18.17,22.46,19.27,19.26,16.99
1950,9,11.32,13.72,12.86,16.56,14.28,15.11,14.46,11.76,11.2,12.97,16.47,16.73,16.76,15.5,19.73,18.68,23.26,18.66,16.89,20.64,22.23,11.95,12.25,18.18,14.65,16.31,14.29
1950,10,4.18,7.22,5.84,9.06,7.03,9.1,8.24,5.52,5.13,5.8,8.97,10.75,9.38,8.29,12.97,11.5,18.8,12.29,10.35,14.2,15.69,4.6,6.2,13.54,9.53,14.29,11.05
1950,11,0.16,3.59,1.71,5.41,3.1,4.31,3.98,0.31,-1.33,-1.54,3.09,5.76,6.04,4.77,9.06,8.11,15.5,8.02,6.7,8.78,9.98,-0.43,-0.03,8.41,3.93,9.59,4.32
1950,12,-7.77,-3.3,-5.35,0.02,-2.43,-1.87,-1.23,-6.79,-10.1,-12.18,-2.37,1.01,2.75,0.66,9.67,6.71,15.11,7.64,5.03,7.49,9.88,-3.21,-6.26,5.86,1.33,5.66,-2.03
1951,1,-8.39,-3.82,-5.7,-1.23,-3.75,-5.39,-4.03,-8.47,-11.85,-12.27,-4.91,-2.79,0.56,-1.47,7.36,4.77,14.56,3.71,1.19,2.58,4.33,-6.92,-8.02,4.75,-1.13,5.55,-1.92
1951,2,-7.31,-3.09,-5.65,-0.83,-3.71,-3.69,-3.47,-7.95,-10.25,-10.79,-2.98,-0.69,0.88,-1.02,6.36,4.15,13.28,4.3,1.85,5.01,6.79,-4.29,-4.41,7.06,2.08,8.03,2.08
1951,3,-4.76,-0.84,-3.15,2.18,-0.27,2.67,2.04,-5.17,-6.15,-3.9,4.54,6.12,5.67,3.63,12.53,9.41,16.59,11.6,9.09,13.04,15.13,1.98,1.61,10.98,6.95,10.07,5.56
1951,4,3.26,6,4.79,8.59,6.74,9.86,8.52,3.85,4.08,5.8,8.73,11.89,10.89,9.21,16.32,14.09,19.83,15.3,13.49,15.52,16.5,4.73,5.13,12.26,8.36,10.41,6.45
1951,5,8.09,10.92,9.77,13.42,11.8,15.08,14.1,10.1,10.93,10.45,14.11,16.4,15.49,13.91,21.12,18.54,23.4,20.11,18.22,20.77,21.94,9.24,8.52,14.07,11.78,13.22,10.09
1951,6,11.83,14.15,12.73,16.58,14.54,17.54,16.3,13.12,14.08,15.69,18.79,18.96,18.05,16.44,22.29,20.34,24.83,21.54,19.52,22.93,24.74,13.52,14.27,18.55,16.46,16.52,14.97
1951,7,16.51,18.26,17.8,20.71,18.92,21.41,20.4,17.92,18.05,18.51,21.43,22.07,21.53,20.25,24.66,23.64,25.39,23.56,22.54,24.37,24.66,15.63,15.63,19.48,17.84,18.17,16.63
1951,8,14,17.03,15.98,19.75,17.64,19.6,18.85,15.92,16.37,17.61,19.82,20.29,20.03,18.89,23.97,22.48,25,22.93,21.32,23.33,23.96,15.04,16.23,20.54,17.75,18.74,16.41
1951,9,13,15.08,14.71,16.7,15.13,17.36,16.39,13.93,13.6,13.56,16.18,17.52,16.59,15.64,20.33,19,23.21,19.71,18.18,19.91,20.71,10.9,11.12,17.5,13.51,15.76,12.96
1951,10,9.69,12.64,11.78,14.84,12.94,11.84,12.37,8.99,7.82,6.92,9.8,12.12,15.27,14.07,18.68,17.37,22.21,16.57,14.81,15.33,16.79,5.48,4.74,12.55,8.41,10.92,6.64
1951,11,0.75,4.84,2.81,6.87,4.25,3.16,3.86,0.27,-1.9,-3.63,0.41,4.18,7.1,5.8,10.61,9.37,16.29,9.13,7.19,8.32,10.11,-2.43,-2.86,6.35,1.9,6.03,1.33
1951,12,-7.06,-2.27,-4.08,0.53,-2.05,-2.87,-1.91,-6.46,-9.89,-12.14,-4.81,-1.2,1.74,0.01,7.63,5.44,14.27,5.26,2.9,4.05,5.23,-5.91,-5.84,3.27,-0.56,5.12,0.2
1952,1,-8.59,-3.52,-5.6,-0.5,-3.15,-4.64,-3.21,-8.95,-12.74,-14.43,-4.48,-2.35,1.61,-0.62,7.86,5.65,14.72,4.6,2.27,3.67,5.32,-4.12,-6.34,5.75,0.94,6.83,-1.21
1952,2,-7.8,-2.26,-4.55,1.12,-1.49,-1.49,-0.79,-6.8,-9.85,-11.97,-4.73,-0.08,3.76,1.86,8.39,6.61,13.45,6.11,3.97,4.71,7.24,-5.18,-4.83,5.41,0.95,6.73,1.49
1952,3,1.93,5.28,2.76,7.05,4.48,2.65,3.78,-2.18,-4.81,-6.76,0.38,4.19,8.4,6.74,12.99,11.08,17.45,10.51,8.19,8.8,10.3,-1.11,-0.9,7.37,3.5,7.56,4.52
1952,4,5.2,7.6,5.97,9.37,7.4,9.24,8.56,3.95,2.34,2.23,7.36,10.11,10.98,9.37,14.95,13.41,18.38,14.09,11.94,13.88,15.51,3.54,4.47,10.44,7.06,11.17,8.74
1952,5,11.24,13.46,13,15.98,14.69,16.93,16.18,11.24,12.02,12.63,15.28,17.12,17.38,16.18,19.33,18.96,21.02,19.01,17.78,19.48,19.98,7.83,8.66,12.7,10.45,12.19,11.4
1952,6,15.66,18.61,18.37,21.21,19.99,22.45,21.6,18.48,18.05,18.21,20.77,22.67,22,21.13,23.21,22.9,24.25,23.36,22.81,23.87,24.3,13.06,13.79,16.93,15.16,15.49,13.23
1952,7,16.15,19.01,18.72,21.64,20.13,23.31,22.08,18.62,18.62,18.9,22,23.93,22.69,21.46,24.79,24.29,24.86,24.6,24.28,24.5,24.18,14.75,16.01,18.91,17.63,18.21,17.44
