YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-13.15,-7.42,-10.38,-5.21,-7.49,-6.48,-6.7,-10.35,-11.78,-11.55,-4.23,-3.94,-2.53,-4.73,4.17,1.8,11.92,0.63,-2.17,1.49,4.88,-4.65,-5.2,5.16,0.56,6.16,0.52
1950,2,-2.84,1.25,-0.26,4.86,2.18,-1.27,0.59,-5.07,-7.49,-8.66,-2.01,-0.05,5.67,4.21,7.6,7.19,12.62,5.84,4.02,5.19,7.47,-3.2,-2.43,6.25,2.3,7.69,3.83
1950,3,-2.48,0.78,-1.8,3.02,0.78,3.04,2.54,-2.46,-2.54,-1.48,2.93,5.47,6.26,4.21,11.39,9.4,16.67,9.8,7.6,9.93,11.28,-1.49,-0.28,7.03,3.43,7.53,3.89
1950,4,0.99,4.1,1.68,5.97,3.61,5.59,4.94,1.33,0.33,0.48,4.36,7.02,8.57,6.49,13.24,11.81,18.49,11.57,9.46,11.35,13.8,1.11,2.67,10.3,6.77,10.21,6.81
1950,5,6.52,10.03,8.85,12.43,10.89,14.28,13.12,9.27,9.9,10.57,13.39,15.85,15.33,13.45,20.06,18.19,23.03,19.07,17.51,19.29,19.95,7.62,8.28,12.96,10.38,12.45,10.77
1950,6,13.41,15.69,14.66,17.82,15.99,18.12,17.28,14.24,14.49,15.87,17.92,18.77,19.2,17.68,23.14,21.53,25.35,22.01,20.46,21.63,22.53,12.95,14.18,18.59,15.86,17.37,14.88
1950,7,17.4,19.91,18.71,21.83,19.87,21.37,20.85,18.35,18.2,18.73,21.41,22.42,22.45,21.18,24.73,23.98,26.02,24.22,23.2,24.85,25.48,16.78,16.67,22.79,19.25,19.58,15.83
1950,8,16.53,19.56,18.46,21.57,19.46,20.88,20.39,17.61,17.36,17.79,20.33,21.47,21.91,20.7,24.67,23.6,26.3,23.94,22.75,23.75,24.52,15.21,15.25,21.16,17.67,18.76,15.27
1950,9,11.05,14.52,13.52,17.08,15.28,17.05,16.6,13.48,13.15,12.86,15.98,17.76,18.17,16.89,21.97,20.37,24.95,20.75,19.23,20.8,22.11,12.12,11.49,18.97,14.99,16.88,12.64
1950,10,3.11,6.88,6.39,9.67,8.75,13,11.89,8.11,8.19,7.08,9.8,13.39,11.87,10.79,16.19,14.31,21.08,15.51,13.75,16.04,17.96,6.49,6.25,12.16,8.69,11.03,7.98
1950,11,2.52,5.61,3.92,7.61,5.11,3.91,4.46,1.05,-1.17,-1.67,4.79,5.71,7.66,6.47,11.28,9.93,16.96,9.87,7.67,10.97,13.52,3.03,1.67,10.96,7.05,10.95,4.33
