YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-9.08,-4.53,-7.38,-1.61,-4.35,-4.57,-3.75,-9,-11.69,-11.63,-4.03,-1.73,1.1,-1.07,7.13,4.68,12.98,4.56,1.99,4.18,5.98,-5.91,-6.45,3.92,-0.17,5.56,-0.03
1950,2,-6.84,-2.5,-4.64,0.17,-2.46,-1.58,-1.75,-6.16,-7.28,-7.2,-0.55,1,2.08,0.21,8.12,5.42,13.32,6.2,3.53,6.56,8.69,-2.24,-2.78,6.93,3.02,7.49,1.77
1950,3,-4.22,0.2,-2.43,2.88,0.66,3.68,3.17,-1.82,-2.1,-1.5,3.3,5.6,5.91,4.15,11.34,8.75,15.78,9.88,7.43,10.11,11.23,-0.41,-0.15,8.4,4.5,8.36,3.39
1950,4,2.13,5.13,3.77,7.26,5.61,8.45,7.21,4.03,5.04,6.1,8.72,10.27,9.6,7.97,14.56,12.51,18.13,13.46,11.3,14.56,16.15,5.62,6.1,12.82,9.56,11.97,7.32
1950,5,10.65,12.81,12.42,14.51,13.38,15.11,14.41,11.7,11.7,11.43,13.05,15.65,15.75,14.62,19.64,17.75,21.8,18.89,17.15,18.43,18.16,8.11,9.28,12.03,10.04,11.71,9.11
1950,6,15.07,17.57,17.64,20.05,19.01,20.54,20.01,16.36,15.83,15.87,19.05,20.84,21.04,20.07,23.77,22.38,24.2,23.54,22.43,23.31,23.82,14.45,14.19,18.97,17.18,17.51,13.43
1950,7,17.75,20.56,19.94,23.01,21.87,23.84,23.48,19.4,19.14,18.2,21.37,23.49,24.23,23.31,25.45,25.25,25.46,25.33,24.55,24.46,24.09,15.91,15.91,19.45,18.45,19.04,16.95
1950,8,16.3,18.87,18.74,21.65,20.39,21.88,21.67,19.12,17.95,17.39,20.62,22.15,22.84,21.67,25.55,24.44,26.45,24.72,23.53,24.2,23.86,16.68,16.97,20.4,18.7,19.23,17.54
1950,9,13.12,16.11,14.65,18.26,15.85,17.06,16.77,13.04,11.99,11.97,15.76,17.8,18.8,17.44,22.24,20.71,24.84,21.2,19.42,21.15,21.84,11.78,11.6,17.62,14.99,16.91,13.09
1950,10,6.46,9.88,8.58,12.15,10.19,11.69,11.44,7.93,6.82,5.73,8.77,12.26,13.36,12.01,17.18,15.61,21.39,15.53,13.77,15.42,16.6,5.75,5.3,13.1,9.91,12.82,7.48
1950,11,-1.44,2.73,1.05,5.51,3.16,2.78,3.68,-1.16,-3.85,-4.85,0.84,4.39,7.58,5.65,13.17,11.16,18.92,9.99,7.76,8.65,10.34,-2.44,-3.77,6.47,2.35,6.26,0.53
1950,12,-6.76,-2.87,-4.6,0.28,-2.07,-2.22,-1.66,-6.08,-8.64,-9.34,-3.14,-0.24,2.47,0.63,7.88,5.7,14.04,5.71,3.33,4.72,6.35,-5.63,-5.74,2.72,-1.27,3.97,-0.79
1951,1,-10.96,-5.63,-8.1,-1.94,-4.25,-3.3,-2.7,-8.65,-10.97,-12.41,-3.98,-0.84,1.09,-0.89,6.92,4.41,12.94,5.2,2.83,4.8,6.78,-6.19,-7.22,3.4,-0.72,4.88,-0.74
1951,2,-10.3,-4.45,-7.53,-1.01,-3.9,-2.44,-2.76,-8.43,-8.62,-8.46,-1.17,0.6,2.04,-0.24,7.63,5.35,12.74,5.79,3.35,6.31,8.57,-3.02,-3.09,7.38,3.12,7.94,2.86
1951,3,-5.83,-0.69,-3.54,2.82,0.03,1.19,1.12,-7.47,-7.66,-6.71,1.68,4.01,6.19,3.92,12.14,9.56,16.69,10.29,7.83,9.87,11.25,-0.38,-1.38,9.28,5.14,9.22,4.23
1951,4,1.19,5.51,3.31,8.78,6.81,9.47,8.89,3.5,4.42,5.41,9.02,10.78,11.75,9.96,16.25,14.37,19.19,15.23,13.46,15.04,15.79,5.86,6.88,11.87,9.19,11.48,8.45
1951,5,9.92,13.21,12.68,15.78,14.39,15.8,15.42,11.74,11.78,11.64,13.78,16.05,17.68,16.21,20.77,19.56,22.8,19.89,18.44,19.02,19.32,9.12,10.24,14.67,12.4,13.54,10.33
1951,6,14.1,16.68,16.18,19.12,18,20.91,20.31,16.83,16.82,16.76,19.01,20.82,20.94,19.79,23.59,22.49,24.34,23.45,22.69,22.67,22.86,14.08,14.4,18.37,16.41,16.7,13.54
1951,7,17.48,19.78,19.73,21.96,20.93,23.52,22.52,20.08,20.18,20,22.34,23.69,22.97,21.98,24.95,24.03,24.8,25.16,24.35,24.68,23.59,17.6,18.3,20.59,19.56,20.63,18.24
1951,8,16.56,19.25,18.52,21.5,19.83,21.7,21.01,18.05,17.76,17.5,20.17,22.03,22.52,21.28,24.61,23.88,25.21,24.01,23.07,23.52,23.08,15.47,16.46,20.33,18.3,19.73,17.9
1951,9,12.41,15.74,14.72,18.18,16.14,17.55,17.3,13.94,13.13,13.29,17.35,18.45,19.19,17.78,22.39,21.22,24.45,21.3,19.92,21.14,21.09,13.58,12.83,19.45,16.21,18.05,13.91
