YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-9.17,-4.12,-6.55,-0.75,-3.35,-2.66,-2.28,-6.72,-9.26,-11.23,-1.68,0.21,2.44,0.13,9.07,6.72,14.64,6.22,3.94,6.66,8.98,-5.02,-6.01,5.2,0.36,4.38,-1.4
1950,2,-14.32,-9.63,-13.33,-4.77,-8.54,-7.24,-7.13,-14.8,-16.62,-14.14,-3.98,-3.21,-0.92,-3.77,5.85,3.48,13.26,3,0.41,4.46,7.76,-3.05,-5,6.9,1.55,6.14,1.42
1950,3,0.14,3.64,3.18,6.4,5.34,8.33,7.55,4.58,3.88,3.49,5.82,9.57,8.99,7.68,13.79,11.48,17.45,12.97,11.2,12.89,14.18,0.06,0.25,7.64,3.42,5.94,2.54
1950,4,3.69,7.01,6.04,9.56,7.99,10.45,9.22,6.13,5.73,6.38,9.09,11.78,10.88,9.7,15.08,13.16,19.17,14.57,12.61,15.68,17.8,4.16,3.7,11.59,7.66,9.44,4.88
1950,5,8.82,11.51,9.74,13.5,11.52,13.91,13.09,8.87,9.28,9.56,13.08,15.08,15.2,13.57,19.52,17.77,22.49,18.73,16.82,19.14,21.02,8.19,8.38,14.1,11.64,12.73,10.18
1950,6,12.97,15.86,14.18,17.95,15.76,18.1,17.36,12.77,12.78,13.45,17.19,19.07,19.64,17.98,23.49,22.07,25.06,22.64,21.2,22.7,24.01,10.78,10.57,15.91,13.59,14.74,11.99
1950,7,18.8,21.17,20.11,22.98,21.12,23.4,22.37,19.17,19.35,19.72,23.52,24.06,23.37,22.2,26.13,25.02,26.36,25.43,24.55,25.32,25.14,16.58,15.99,20.69,18.55,18.44,15.95
1950,8,16.36,19.24,17.84,21.49,19.33,21.7,20.73,16.5,16.32,16.57,21.01,22.49,22.43,21.12,25.41,24.3,26.4,24.51,23.55,24.37,24.73,15.48,13.75,19.83,16.98,16.93,14.03
1950,9,11.13,15.12,13.99,18.37,16.43,18.09,17.73,13.61,13.15,13.31,17.09,18.74,19.28,18.13,21.48,20.71,24.39,20.8,19.67,20.99,21.23,11.59,9.52,18.11,13.11,14.09,10.05
1950,10,8.64,11.29,10.05,13.05,10.99,11.57,11.76,8.38,7.11,6.24,9.75,12.14,13.49,12.22,16.59,15.45,21.04,15.61,14.13,15.5,17.47,5.29,4.75,14.03,9.16,12.54,6.93
1950,11,6.35,9.51,8.6,11.68,9.79,8.53,9.61,5.77,2.89,-0.4,5.03,9.13,12.85,11.3,16.91,15.3,20.11,14.96,13.14,12.66,13.43,0.48,-1.16,8.14,3.68,6.99,1.41
1950,12,-3.04,0.63,-0.77,3.41,1.11,2.23,2.31,-1.34,-4.12,-6.84,0.77,3.91,4.55,3.07,10.06,7.59,15.6,8.73,6.24,8.56,10.43,-2.82,-3.85,6.25,1.42,5.57,-0.33
1951,1,-11.41,-6.21,-8.59,-2.94,-5.53,-5.1,-4.73,-7.65,-9.75,-11.64,-5.3,-3.07,0.08,-2.18,6.87,4.2,13.67,4.11,1.4,3.44,6.47,-5.31,-6.1,7.65,1.37,6.06,-0.58
1951,2,-6.42,-1.42,-3.83,1.84,-0.67,-0.95,-0.08,-6.65,-9.39,-11.32,-2.11,1.67,5.15,2.85,11.73,8.98,15.99,9.54,6.81,8.53,10.9,-6.07,-7.15,5.32,0.04,4.4,-2.02
1951,3,-0.28,3.7,2.42,6.32,4.51,6.97,5.91,1.93,1.97,0.2,6.99,8.98,8.62,6.97,13.54,11.18,17.68,12.38,10.23,12.96,14.69,3.3,1.26,11.33,7.19,8.87,2.71
1951,4,3.01,6.47,5.08,8.99,7.41,11.39,9.83,6.04,6.92,7.97,12.18,13.6,11.76,10.16,17.56,14.89,20.41,16.78,14.64,17.73,19.78,7.77,6.87,15.2,11.05,12.1,6.75
1951,5,9.21,11.56,10.42,13.67,11.71,14.15,13.11,9.61,10,10.61,13.47,15.34,15.06,13.64,19.09,17.31,22.2,18.42,16.56,18.78,20.25,8.08,9.02,14.95,12.01,13.7,11
1951,6,13.09,15.77,14.33,17.58,15.66,18.34,17.21,13.47,13.77,14.64,18.25,19.41,18.69,17.23,23.19,21.2,25.2,22.55,20.8,23.2,24.15,11.46,11.72,16.25,14.21,15.01,13.14
1951,7,15.99,19.07,17.72,21.14,19.14,22.19,20.84,17.24,17.87,18.41,22.25,22.97,21.95,20.61,25.42,24.09,26.32,24.64,23.53,24.87,24.84,15.05,15.3,19.58,17.42,17.1,15.29
1951,8,16.05,18.89,17.78,20.75,18.87,21.36,20.41,17.89,18.14,18.89,21.38,21.89,21.76,20.36,24.99,23.83,26.28,24.19,22.98,23.95,23.97,14.66,14.7,19.11,16.06,16.93,13.94
1951,9,13.17,15.88,15.07,17.83,16.16,18.01,17.52,14.81,14.32,13.74,16.37,18.26,18.72,17.56,21.86,20.5,24.67,21.07,19.58,20.9,22.21,10.31,10.53,16.9,13.15,14.59,11.74
1951,10,5.8,8.89,8.37,11.72,10.45,12.89,12.38,9.36,8.93,8.61,12,13.79,13.76,12.44,19.18,16.61,22.57,17.75,15.61,17.19,18.39,7.87,6.96,15.5,10.6,13.03,7.19
