YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-8.94,-4.34,-7.17,-1.19,-3.94,-3.91,-3.23,-8.8,-11.52,-11.33,-2.96,-0.69,1.61,-0.61,7.71,5.23,14.21,5.23,2.6,5.6,8.22,-5.17,-6.2,5.47,0.83,6.61,0.23
1950,2,-6.59,-2.18,-4.29,0.76,-1.81,-0.32,-0.85,-5.83,-6.89,-6.52,1.2,2.76,2.79,0.92,9.03,6.21,14.98,7.13,4.41,8.46,11.28,-1.17,-2.44,8.91,4.32,8.84,2.05
1950,3,-3.95,0.5,-2.05,3.45,1.33,5.28,4.28,-1.23,-1.34,-0.38,5.4,7.66,6.65,4.89,12.26,9.57,17.91,10.85,8.39,12.69,14.9,0.71,0.38,10.54,5.94,9.68,3.9
1950,4,2.84,5.8,4.57,8.1,6.53,10.59,8.67,5.5,6.92,8.38,11.2,12.76,10.58,8.9,15.75,13.54,20.42,14.5,12.49,17.15,20.49,6.88,7.24,16.37,11.75,13.98,8.16
1950,5,11.68,13.68,13.32,15.46,14.39,17.63,16.15,13.38,13.94,14.5,15.66,18.59,16.4,15.53,19.73,17.8,23.24,19.82,17.83,22.33,24.13,9.28,10.47,15.41,12.53,13.24,10.01
1950,6,15.88,18.04,18.27,20.62,19.97,23.89,22.42,18.3,18.44,19.79,22.74,24.29,21.84,20.95,25.81,23.37,27.05,25.78,23.98,26.94,28.69,16.52,15.9,24.69,21.07,20.16,14.59
1950,7,18.76,21.21,20.57,24.45,22.97,28.14,26.66,21.42,22.07,22.27,25.39,27.69,26.98,25.27,29.03,28.95,29.5,29.11,27.51,28.8,28.72,18.31,17.71,25.46,22.83,22.15,18.15
1950,8,16.86,19.21,18.78,22.03,20.61,26.07,24.18,20.66,20.61,21.1,24.82,26.54,24.12,22.45,29.67,27.1,31.82,28.48,26.12,28.82,28.84,19.05,18.91,26.49,23.25,22.4,18.77
1950,9,13.69,16.61,15.2,18.99,16.5,19.75,18.41,14.03,13.36,14.09,18.55,21.23,19.63,18.19,23.83,21.75,28.52,22.93,20.49,25.36,26.9,12.99,12.81,22.85,18.4,19.63,14.36
1950,10,6.97,10.42,9.08,12.79,10.75,12.56,12.16,8.48,7.51,6.71,9.79,13.3,13.75,12.52,17.28,15.65,23.01,15.94,14.3,16.78,19.79,6.47,6.09,17.22,12.09,15.84,8.46
1950,11,-1.08,3.09,1.48,6.07,3.72,3.51,4.29,-0.77,-3.46,-4.39,1.82,5.34,8.02,6.15,13.36,11.52,20.22,10.4,8.22,9.56,11.77,-1.74,-3.3,8.99,3.73,8.23,0.98
1950,12,-6.55,-2.67,-4.32,0.71,-1.63,-1.81,-1.3,-5.88,-8.44,-9.1,-2.46,0.34,2.8,0.99,8.34,6.08,15.17,6.14,3.66,5.45,7.61,-5.06,-5.46,4.04,-0.48,4.96,-0.51
1951,1,-10.8,-5.44,-7.87,-1.51,-3.82,-2.66,-2.23,-8.46,-10.78,-12.14,-3.06,0.05,1.57,-0.42,7.51,4.93,14.32,5.78,3.35,5.82,8.31,-5.58,-7.04,4.61,-0.03,5.68,-0.51
1951,2,-10.2,-4.34,-7.31,-0.57,-3.39,-1.46,-2.05,-8.17,-8.28,-7.93,0.11,1.83,2.63,0.36,8.38,5.97,14.6,6.6,4.1,7.7,10.99,-2.18,-2.78,9.11,4.2,8.97,3.22
1951,3,-5.62,-0.42,-3.12,3.5,0.81,2.54,2.11,-7.1,-7.14,-5.92,3.35,5.6,6.98,4.75,12.94,10.33,18.65,11.07,8.66,11.37,14.1,0.73,-0.96,12,6.76,10.95,4.66
1951,4,1.64,5.98,3.85,9.46,7.51,11.28,10.09,4.57,5.96,7.26,11.04,12.64,12.55,10.73,16.95,15.19,20.9,15.92,14.24,16.86,19.85,7.02,7.85,14.42,10.96,13.06,9.27
1951,5,10.75,14.02,13.49,16.8,15.27,18.53,16.95,13.17,13.84,14.41,16.59,18.79,18.73,17.19,21.06,20.2,24.64,20.06,19.18,21.43,23.58,10.62,11.78,18.72,15.11,15.8,11.41
1951,6,14.98,17.5,16.97,19.91,18.93,24.1,22.48,18.78,19.58,20.19,22.79,24.38,22.27,20.89,25.14,23.97,27.09,24.91,23.84,26.03,27.51,16.08,16.09,23.84,20.11,19.49,14.55
1951,7,17.73,19.27,19.76,21.91,21.21,28.11,25.23,23.25,24.66,24.84,26.68,28.19,24.39,22.86,28.02,26.23,28.1,28.71,27.12,29.06,28.06,19.87,20.67,25.48,23.27,24.72,20.33
1951,8,16.97,19.33,18.8,22.1,20.43,25.76,23.55,19.94,21.19,21.97,24.65,26.27,24.14,22.41,27.57,26.23,28.99,26.58,24.92,27.47,27.58,17.48,18.31,25.85,22.3,23.22,19.13
1951,9,13.03,16.3,15.15,19.05,16.67,20.15,18.94,14.84,14.46,15.55,20.21,21.79,20.05,18.54,23.98,22.47,27.46,22.79,20.88,25.4,26.07,14.81,14.02,23.08,19.36,20.98,15.31
1951,10,7.38,10.32,8.59,11.94,9.36,10.99,10.43,7.37,6.68,6.38,9.65,11.99,12.47,11.01,16.17,14.82,21.74,14.75,12.74,15.34,17.79,6.52,6.07,16.31,11.34,15.37,9.3
1951,11,2.36,6.24,5.06,8.25,6.12,5.59,6.34,3.51,0.76,-1.23,3.03,6.59,9.05,7.61,13.25,11.65,18.61,11.42,9.37,10.64,12.04,-0.75,-1.28,9.29,4.32,9.45,2.53
1951,12,-4.59,-0.6,-1.68,2.24,0.26,1.5,1.49,-1.1,-3.29,-5.04,-0.14,3.31,4.22,2.61,9.3,7.36,15.27,7.74,5.68,7.53,9.15,-4.22,-4.99,4.88,0.16,5.61,-0.47
1952,1,-7.83,-3.33,-5.57,-0.66,-3.26,-2.9,-2.68,-6.29,-9.09,-12.22,-2.93,-0.67,1.44,-0.58,7.35,5.01,14.09,4.91,2.47,4.69,7,-5.65,-7.03,5.44,0.69,6.57,-0.91
1952,2,-9.46,-3.97,-7.28,-1.01,-3.68,0.74,-0.5,-8.31,-8.29,-5.79,3.11,4.27,2.84,0.58,9.84,6.87,15.31,8.1,5.63,9.25,10.77,0.43,-0.69,10.55,5.95,9.92,3.26
1952,3,-1.52,2.44,0.71,5.74,3.97,4.67,5.27,-2.12,-3.57,-5.16,2.9,6.27,8.42,6.93,12.99,10.81,17.89,11.63,9.37,11.66,14,0.06,-2.06,9.1,4.92,8.62,2.35
1952,4,2.75,6.53,4.69,9.28,7.34,10.58,9.2,3.69,3.96,4.37,9.35,12.6,12.18,10.26,17.22,14.99,20.97,16.35,14.36,17.67,19.74,4.69,4.67,12.52,8.89,11.76,6.61
1952,5,10.26,12.96,12.17,15.69,14.42,17.63,16.28,12.47,12.77,12.38,15.28,18.67,17.83,16.38,21.43,20.09,24.57,19.68,18.31,21.84,24.4,9.55,10.64,18.26,14.82,16.74,12.53
1952,6,17.18,20.05,18.96,22.15,20.08,23.29,21.57,19.15,19.46,19.37,21.28,24.03,22.53,21.15,27.03,25.16,29.49,24.52,22.7,26.22,27.78,13.68,14.62,21.78,18.34,19.02,13.8
1952,7,19.72,22.35,20.77,25.08,22.22,27.07,24.8,21.02,21.95,23.03,26.03,27.67,25.32,23.52,30.63,28.48,31.15,29.62,28.18,29.66,29.42,19.6,19.75,27.68,24.01,23.53,18.99
1952,8,17.21,19.74,18.52,22.35,19.8,25.12,22.57,18.11,18.32,20.58,24.73,26.59,24.65,22.14,28.83,27.32,30.77,28.16,26.01,29.06,28.58,18.36,18.25,26.62,22.86,22.82,18.2
1952,9,12.75,16.01,14.73,18.14,15.93,19.9,18.15,13.96,13.11,14.26,18.75,21.98,18.76,17.51,23.45,21.41,27.87,23.32,21.11,25.59,26.21,12.98,12.79,22.23,17.65,19.3,14.31
1952,10,6.78,10.24,8.54,12.41,9.95,11.25,10.96,6.82,5.65,4.33,9.38,12.78,13.7,12.02,18.62,16.81,23.81,17.22,15.22,17.52,20.32,5.96,4.49,15.62,10.25,14.69,6.93
1952,11,3.88,7.57,6.66,10.02,8.02,7.41,8.2,4.46,1.83,-0.07,4.88,8.54,10.76,9.45,14.63,13.17,19.63,12.99,11.1,12.46,13.86,0.72,-0.11,9.89,4.65,9.18,2.87
1952,12,-3.81,0.31,-1.07,2.93,0.7,-0.01,1.06,-2.85,-6.32,-8.94,-2.76,1.55,4.46,2.86,9.52,7.42,15.67,7.32,5.08,5.95,8.15,-5.78,-8.29,4.78,-0.6,4.75,-3.78
1953,1,-8.3,-3.29,-5.39,-0.12,-2.4,-1.97,-1.48,-6.58,-9.47,-11.65,-3.14,0.72,2.56,0.52,8.57,6.19,15.21,6.34,3.72,6.4,8.67,-5.97,-7.85,5.1,0.11,5.45,-2.06
1953,2,-10.11,-4.57,-8.04,-1.84,-5.38,-3.7,-4.28,-10.12,-11.39,-8.93,-0.56,0.35,1.68,-1.24,8.81,6.08,14.64,6.43,3.52,7.01,9.59,-3.02,-1.4,7.89,3.4,8.79,3.77
1953,3,-2.4,2.23,0.01,5.41,3.55,6.65,5.89,-1.02,-0.32,1.08,5.84,8.7,8.45,6.85,13.86,11.22,18.2,12.69,10.66,12.86,14.7,1.28,0.78,11.46,6.25,9.91,4.11
1953,4,7.37,9.65,9.15,11.26,10.04,12.7,11.78,9.27,8.69,7.24,9.83,13.16,13.02,11.79,17.02,15.07,20.75,16.26,14.31,16.03,17.9,5.1,4.34,14.69,9.33,11.84,5.09
1953,5,11.55,13.62,12.19,15.03,12.95,15.83,14.11,10.61,11.22,11.1,14.07,16.91,16.68,14.9,20.88,18.92,24.12,19.86,18.04,20.44,23.22,9.14,9.57,17.62,13.67,14.57,10.33
1953,6,16.8,20.39,18.91,23.46,20.75,24.03,22.56,18.44,19.26,19.96,23.17,24.72,24.51,22.65,27.08,26.38,29.1,25.73,23.96,26.06,26.62,15.23,14.28,23.37,19.14,18.98,14.25
1953,7,18.54,20.77,19.91,23.23,20.99,25.7,23.77,19.68,20.58,21.86,24.61,26.3,24.47,22.73,27.41,26.51,30.28,27.44,25.05,28.3,27.55,18.02,19.85,26.81,23.23,25.08,21.07
1953,8,17.53,20.17,19.2,22.78,20.5,24.51,22.83,18.7,18.88,20.11,24.22,25.53,24.3,22.38,28.74,26.28,29.64,27.9,25.36,27.88,27.82,18.04,17.35,26.62,22.88,22.61,18.3
1953,9,12.22,15.25,14.23,17.61,15.73,19.71,18.18,14.52,14.45,14.72,18.79,20.64,18.88,17.39,22.74,21.31,26.36,22.24,19.88,23.76,24.11,14.22,14.22,23.75,19.43,21.07,14.46
1953,10,8.33,11.49,10.24,13.81,11.79,13.22,12.89,9.11,8.55,8.05,12.69,14.89,14.98,13.6,18,16.86,22.32,17.25,15.62,18.64,19.56,8.31,7.14,17.86,12.16,15.34,7.72
1953,11,2.65,6.39,5.34,8.66,6.66,7.03,7.3,4.5,2.71,1.44,5.16,7.56,9.13,7.99,12.51,11.32,17.48,11.02,9.24,10.92,12.16,2.42,1.94,10.8,6.27,10.41,4.49
1953,12,-3.85,-0.61,-2.43,1.75,-0.48,-0.16,0.48,-3.31,-6.01,-7.89,-0.8,2.17,3.63,2.08,8.92,6.54,14.62,7.63,5.2,8.25,10.65,-3.34,-4.8,5.74,1.6,6.09,-0.71
1954,1,-9.01,-4.74,-7.72,-2.34,-4.92,-3.64,-3.69,-6.8,-8.59,-9.59,-3.61,-1.21,-0.23,-2.1,4.76,2.88,11.31,3.36,1.08,4.04,6.18,-5.79,-5.04,4.9,0.47,6.49,1.2
1954,2,-10.06,-4.47,-7.58,-1.23,-3.72,0.71,-0.61,-5.27,-4.56,-3.69,2.5,3.19,1.95,-0.01,8.37,5.46,14.19,7.01,4.15,8.93,11.41,0.4,1.03,10.25,5.66,10.07,5.38
1954,3,-4.93,-0.12,-3.3,2.62,-0.24,2.86,1.77,-4.22,-2.81,-1.02,3.86,5.21,5.47,3.37,11.39,8.7,16.48,9.71,7.06,10.75,13.63,1.63,1.38,11.19,6.63,10.57,5.73
1954,4,2.36,5.85,3.71,8.37,6.38,9.83,8.19,4.03,5.68,6.7,8.73,11.42,11.02,9.26,15.68,13.39,19.9,15.21,12.96,15.47,18.05,5.39,7.29,12.99,9.24,11.15,9.02
1954,5,10.55,12.4,11.3,14.67,13.16,17.33,16,11.77,12.2,12.02,15.18,18.22,17.67,15.86,20.72,19.55,23.68,20.91,19.08,22.77,24.2,10.03,10.96,17.32,14.01,14.8,12.5
1954,6,16.13,19.36,17.95,21.87,19.51,24.29,22.27,18.89,19.91,20.47,23.26,24.58,23.03,21.39,26.34,24.96,28.26,24.99,23.86,24.97,25.34,16.87,16.89,25.55,21.06,21.81,16.84
1954,7,18.72,20.82,19.55,23.19,20.91,26.22,23.74,19.53,21.37,23.11,25.41,26.76,25.18,22.99,31.69,29,31.62,29.57,27.23,28.6,28.17,18.53,20.92,26.38,24.31,25.76,22.59
1954,8,17.81,19.75,19.05,21.91,19.72,24.89,22.6,19.05,19.88,22.81,24.7,25.23,22.84,21.27,27.24,25.36,30.16,25.81,24.17,26.49,27.82,18.79,20.5,28.04,24.46,26.05,22.97
1954,9,13.14,16.13,14.74,18.61,16.14,21.05,19,15.03,15.18,16.59,19.59,21.84,19.36,18.03,21.17,20.53,24.95,21.29,20.2,21.59,22.34,14.26,14.58,23.78,18.21,21.78,15.86
