YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-8.95,-3.69,-6.25,-0.18,-2.89,-2.2,-1.82,-6.49,-9.06,-10.97,-1.03,0.78,3.07,0.75,9.76,7.4,15.68,6.9,4.53,7.41,9.71,-4.62,-5.74,5.73,0.76,5.17,-1.07
1950,2,-14.13,-9.35,-13.12,-4.25,-8.12,-6.7,-6.6,-14.64,-16.5,-13.91,-3.26,-2.46,-0.16,-3.08,6.81,4.35,14.3,3.96,1.28,5.49,8.74,-2.55,-4.72,7.7,2.06,7.16,1.97
1950,3,0.99,4.65,4.2,7.64,6.45,9.4,8.58,5.35,4.7,4.61,7.1,10.71,10.21,8.88,14.84,12.59,19.09,14.03,12.26,14.05,15.19,0.94,0.83,8.78,4.09,6.99,3.04
1950,4,5,8.38,7.36,11.14,9.39,12.14,10.63,7.26,7.13,8.27,10.78,13.46,12.41,11.23,16.36,14.58,21.05,15.83,13.97,16.99,19.44,5.35,4.73,14.69,9.25,11.67,5.68
1950,5,10.13,12.8,10.95,15.09,12.67,15.17,14.11,9.96,10.63,11.3,14.77,16.3,16.26,14.64,20.28,18.68,24.97,19.58,17.32,20.47,23.49,9.81,9.95,18.73,14.46,15.81,11.73
1950,6,14.42,17.4,15.62,20.09,17.12,18.84,18.04,14.05,14.29,15.18,18.47,19.73,20.43,18.8,24.9,23.21,28.71,23.8,21.36,24.48,27.53,13.4,12.42,22.13,17.96,18.94,13.67
1950,7,19.9,22.1,21.26,25.34,22.37,25.93,23.82,20.41,21.18,23.06,26.38,27.02,25.37,23.7,30.72,28.28,31.48,29.44,27.21,29.52,29.77,19.4,19.98,26.88,24.32,23.92,20.07
1950,8,17.41,20.21,19.01,23.99,20.43,23.66,21.76,17.7,17.9,19.25,23.22,25.45,24.27,22.33,29.59,27.51,31.56,28.05,26.24,28.61,29.26,18.59,17.4,26.27,22.5,22.2,17.51
1950,9,12.2,16.21,14.91,19.89,16.89,19.09,18.27,14.34,14.04,14.69,18.78,20.29,20.47,18.92,23.54,22.53,28.11,22.8,20.92,23.89,24.82,14.1,12.06,22.77,16.89,18.31,12.03
1950,10,9.46,12.26,10.87,14.24,11.86,12.5,12.58,9.11,7.96,7.46,11.62,13.44,14.32,13.12,17.18,16.05,22.76,16.79,14.93,17.69,20.9,6.71,5.9,16.71,10.97,15.62,7.75
