YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-17.45,-11.02,-14.33,-8.44,-11.07,-9.84,-10.11,-14.32,-15.9,-15.57,-7.18,-6.85,-5.17,-7.82,3.46,0.32,14.35,-1.09,-4.7,-0.11,4.26,-7.75,-8.36,4.72,-1.35,6,-1.39
1950,2,-5.43,-0.39,-2.2,4.37,0.94,-3.48,-1.1,-8.13,-11.02,-12.27,-4.45,-1.98,5.49,3.58,8.05,7.49,15.22,5.69,3.28,4.76,7.75,-5.92,-4.99,6.24,0.96,8.1,2.85
1950,3,-5.11,-1.06,-4.25,1.82,-1,1.85,1.23,-5.1,-5.21,-3.83,1.76,5.02,6.16,3.44,13.27,10.46,21.38,11.04,7.95,11.14,13,-3.79,-2.34,7.24,2.46,7.84,2.92
1950,4,-0.82,3.2,0.13,5.68,2.67,5.47,4.53,-0.29,-1.5,-1.12,3.91,7.4,9.44,6.56,16.17,14.08,24.45,13.72,10.73,13.25,16.64,-0.3,1.58,11.89,7.01,11.68,6.85
1950,5,6.39,11.18,9.56,14.67,12.49,17.56,15.79,10.17,11.15,12.19,16.22,19.98,19.2,16.31,26.8,23.78,32.15,25.29,22.7,25.42,26.14,8.2,8.98,15.59,11.96,14.95,12.41
1950,6,16.3,19.88,18.24,23.32,20.37,23.55,22.31,17.51,17.85,19.93,23.14,24.48,25.64,23.1,32.43,29.63,36.63,30.44,27.64,29.5,30.61,15.81,17.44,23.9,19.88,22.36,18.42
1950,7,22.55,26.86,24.65,30.01,26.59,28.95,28.17,24.04,23.7,24.32,28.53,30.46,31.1,28.85,35.27,33.91,37.84,34.26,32.39,34.73,35.58,21.51,21.1,30.39,24.98,25.51,19.81
1950,8,21.13,26.15,24.29,29.49,25.94,28.06,27.4,22.84,22.32,22.73,26.58,28.92,30.11,28.03,35.08,33.11,38.44,33.61,31.44,33.09,34.67,19.04,19,27.8,22.6,24.27,19
1950,9,12.96,18.07,16.5,21.93,19.13,21.78,21.19,16.34,15.84,15.4,19.94,22.75,23.78,21.68,30.35,27.57,36.05,28.11,25.47,27.88,30.1,14.53,13.53,24.98,18.72,21.63,15.08
1950,10,1.95,6.89,6.28,10.75,9.51,15.64,14,8.61,8.71,7.22,11.07,16.22,13.94,12.39,20.58,17.61,28.66,19.52,16.76,20.32,23.49,6.67,6.22,14.64,9.7,12.84,8.5
1950,11,1.28,5.29,3.13,8,4.68,3.09,3.79,-0.65,-3.35,-3.84,4.24,5.45,8.13,6.5,13.27,11.3,22.02,11.25,8.11,12.68,16.28,1.95,0.27,12.62,7.22,12.59,3.58
1950,12,-8.71,-3.72,-4.16,0.83,-0.02,3.22,3.63,-2.28,-4.38,-6.36,-0.82,4.97,5.1,3.62,12.87,8.92,19.87,11.68,9.4,9.91,8.95,-5.08,-5.14,4.76,-0.36,5.7,1.15
1951,1,-14.31,-8.02,-11.22,-4.4,-7.77,-9.64,-8.17,-12.58,-16.05,-18.04,-9.16,-7.01,-1.45,-4.33,7.7,4.24,17.22,3.37,-0.85,2.01,6.02,-10.43,-12.17,2.33,-3.71,2.33,-5.68
1951,2,-13.55,-7.55,-10.26,-3.51,-6.62,-6.83,-6.18,-11.14,-13.18,-13.98,-4.35,-2.97,-0.85,-3.09,5.22,2.89,14.43,2.84,0.01,4.19,6.75,-6.53,-7.81,6.58,0.46,7.73,-1.21
1951,3,-6.67,-1.94,-5.04,1.02,-2.15,-0.69,-1.02,-6.22,-6.71,-6.74,-1.61,2,3.96,1.8,9.45,7.14,18.66,7.16,4.76,7.31,9.07,-4.58,-3.38,7.38,2.35,7.98,3.49
1951,4,4.21,8.4,6.23,10.82,8.59,10.44,10.06,3.98,3.69,4.08,7.82,11.78,13.79,11.49,19.94,17.65,25.65,18.63,16.2,17.21,17.82,1.34,3.12,10.5,6.19,10.08,6.45
1951,5,9.8,14.51,10.97,16.42,13.14,15.43,14.07,9.61,10.58,12.54,14.91,16.29,17.19,15.23,21.74,19.85,28.77,20.14,17.13,20.64,22.97,9.27,10.23,18,13.1,15.75,11.11
1951,6,17.9,22.52,19.36,25.83,22.26,25.55,24.45,17.7,17.67,18.33,22.31,26.08,27.58,25.26,31.09,30.17,35.03,30.07,28.34,30.03,30.99,15,14.68,23.82,18.7,20.78,14.99
1951,7,22,27.18,24.35,30.67,26.98,29.3,28.78,22.65,22.48,22.43,27.55,29.93,31.99,29.72,35.06,34.49,37.91,33.69,32.01,33.32,33.97,18.56,18.85,25.72,21.67,22.56,20.58
1951,8,20.86,26.23,23.62,28.99,25.57,27.28,26.72,21.96,21.1,21.64,26.38,28.45,29.55,27.61,34.35,32.67,38.24,32.75,30.56,32.67,33.77,19.32,20.23,29,23.69,26.32,22.75
1951,9,14.94,19.65,17.76,23.23,20.13,22.47,22.47,15.92,14.08,12.33,18.39,23.04,24.95,22.9,30.28,28.19,36.27,28.5,26.11,27.91,28.89,11.74,10.92,22.64,16.5,21.26,14.9
1951,10,6.47,10.53,6.66,12.13,7.64,4.95,6.31,1.04,-0.86,0.39,5.5,6.95,12.16,9.83,17.99,15.98,28.28,14.81,11.67,15.08,20.33,5.47,6.16,17.82,11.98,17.45,11.71
1951,11,-0.05,4.08,2.14,6.92,3.99,4.02,4.58,-0.36,-2.35,-4.36,2.31,5.45,7.49,6.06,12.57,10.6,21.97,10.61,7.81,11.25,15.53,0.7,-0.77,11.37,6.37,10.65,2.98
1951,12,-9.65,-4.76,-7.6,-1.71,-4.25,-1.96,-2.13,-8.17,-10.77,-13.48,-7.04,-0.06,1.28,-0.72,8.54,5.53,17.49,6.82,3.94,5.38,7.9,-7.83,-9.5,5.29,-1.17,4.87,-4.55
1952,1,-17.66,-11.25,-14.51,-6.36,-10.01,-11.65,-10.4,-16.93,-20.23,-19.86,-9.49,-7.51,-1.55,-5.08,7.04,3.85,16.8,2.85,-0.59,2.04,6.41,-10.05,-12.24,4.02,-2.74,4.3,-6.25
1952,2,-15.49,-10.32,-13.52,-7.81,-10.08,-4.46,-6.74,-11.3,-10.11,-7.94,-0.9,0.03,-3.88,-5.92,5.53,1.15,14.44,3.69,0.66,6.87,10.94,-1.73,-1.54,11.45,5.34,9.7,2.45
1952,3,-9.39,-4.62,-8.4,-1.66,-4.35,1.92,-0.09,-7.71,-6.47,-3.89,3.28,5.86,3.54,0.97,11.34,8.04,18.69,10.35,7.43,12.1,14.98,-0.77,-0.87,10.19,5.46,9.44,2.57
1952,4,2.27,7.03,5.03,11.03,8.97,11.17,10.78,3.9,3.26,2.64,9,12.66,14.55,12.43,19.83,17.67,25.95,18.37,15.86,17.63,19.28,4.13,3.25,13.53,8.54,11.87,5.7
1952,5,9.98,13.88,11.43,16.34,13.52,15.89,15.09,10.08,10.43,11.06,15.53,17.27,18.3,16.19,24.56,21.97,31.22,23.04,19.95,24.09,27,9.38,8.71,18.93,13.94,15.96,10.37
1952,6,18.5,22.6,19.85,24.72,21.62,25.11,24.04,19.13,19.71,19.93,23.14,25.07,26.07,24.08,31.21,29.21,35.86,29.52,27.05,28.97,29.7,15.48,16.14,24.13,19.41,22.08,16.63
1952,7,21.3,26.45,23.72,29.18,25.84,29.23,28.09,23.7,23.89,24.72,27.84,29.67,30.3,28.25,34.46,33.1,37.58,33.38,31.47,32.87,33.72,19.69,20.56,28.6,23.45,24.9,19.11
1952,8,17.43,22.68,20.86,26.23,23.42,28.38,26.66,22.75,23.34,25.89,27.23,28.82,28.27,26.14,33.75,31.58,37.39,32.84,31.04,32.18,33.24,19.36,21.4,28.06,22.65,24.2,19.29
1952,9,14.67,19,17.24,21.66,18.69,20.97,20.57,17.15,16.55,17.02,19.22,21.19,23.05,20.94,29.1,26.93,34.95,26.88,24.67,25.4,27.82,13.57,14.53,23.94,17.88,22.32,15.76
1952,10,8.97,13.43,10.94,15.88,12.57,12.12,12.48,8.17,7.34,7.6,10.66,12.71,16.4,14.55,21.82,19.45,29.39,19.53,16.73,17.65,18.89,6.83,7.52,17.31,11.63,18.28,9.72
1952,11,1.23,5.61,4.57,9.12,6.8,7.1,7.92,3.02,-0.07,-4.57,1.25,7.38,11.35,9.38,16.26,14.45,23.12,14.35,11.95,11.45,12.49,-2.33,-4.59,7.95,2.11,7.55,-0.93
1952,12,-11.05,-5,-6.68,-0.65,-3.02,-3.48,-1.84,-6.53,-9.68,-11.64,-5.73,-1.87,3.17,0.73,10.36,7.59,18.35,7.67,4.52,5.16,7.22,-8.99,-10.23,1.91,-3.73,3.17,-3.92
1953,1,-11.65,-6.79,-11.05,-5.34,-9.24,-11.13,-9.81,-13,-17.04,-18.77,-10.8,-8.64,-4.64,-6.88,0.69,-0.6,11.53,-2.35,-5.48,-1.68,2.49,-13.38,-14.33,1.89,-5.18,3.29,-6.19
1953,2,-10.77,-6.01,-9.5,-3.22,-6.7,-6.76,-5.96,-11.16,-14.01,-14.57,-5.02,-3.33,-0.41,-2.91,7.45,4.18,16.44,4.25,0.93,5.09,8.92,-7.2,-7.98,6.5,0.63,7.91,-1.64
1953,3,-7.69,-2.17,-5.37,2.17,-0.73,0.88,1.14,-5.8,-6.64,-6.91,0.42,4.04,7.46,4.49,14.93,11.96,22.04,12.08,8.97,11.71,13.91,-3.43,-4.45,8.96,3.18,8.5,0.42
1953,4,5.24,10.22,7.94,12.75,10.42,12.3,11.72,6.81,7.42,5.92,8.89,13.27,15.22,13.17,20.93,18.78,26.85,18.98,16.38,17.79,18.49,2.33,1.75,13.01,7.54,11.57,5.09
1953,5,9.16,12.82,9.74,14.33,11.24,15.42,13.53,9.24,9.39,10.38,15.19,17.84,16.88,14.34,25.32,21.97,30.75,23.4,20.46,23.47,24.48,9.96,10.03,18.16,13.72,16.46,12.06
1953,6,15.05,19.99,18.28,23.81,20.95,26.6,24.48,19.2,20.1,21.34,25.2,27.24,26.73,24.34,32.81,30.41,36.49,31.31,29.34,30.86,30.84,15.71,14.16,23.21,18.38,19.88,13.25
1953,7,22.94,27.96,25.5,31.72,27.8,30.16,29.15,24.17,24.02,23.88,29.51,31.36,32.48,30.34,35.84,34.85,38.27,34.61,33,34.62,35.12,21.23,20.86,29.74,24.92,26.25,20.01
1953,8,20.83,25.82,24.37,29.34,26.17,27.97,27.43,24.32,24.31,25.31,27.27,28.51,29.98,28.05,33.88,32.51,37.52,32.8,31.06,32.16,33.47,20.07,21.15,29.68,23.38,25.59,20.63
1953,9,16.74,21.67,20.33,24.79,21.77,23.2,23.38,18.58,15.76,14.16,18.31,23.62,25.68,23.73,30.7,28.69,36.11,29.35,27.04,28.17,30.39,12.95,12.13,24.84,18.24,22.41,13.61
1953,10,7.25,10.83,8.32,12.08,8.75,11.01,10.19,7.05,6.01,6.18,10.39,12.67,12.16,10.42,18.95,16.25,28.22,16.67,13.78,17.57,20.16,6.01,6.34,17.11,10.77,16.45,8.16
1953,11,2.08,6.54,4.66,9.56,6.61,4.43,7.08,1.91,-1.44,-4.16,-0.45,4.5,11.41,9.25,17.43,15.09,24.88,14.37,11.62,10.21,11.89,-4.9,-5.96,3.95,-1.09,3.91,-2.65
1953,12,-7.96,-3.54,-5.1,-1.11,-3.61,-5.15,-3.54,-5.73,-8.94,-12.36,-7.2,-3.94,-0.61,-1.98,3.78,2.32,14.03,2.42,-0.23,2.19,5.25,-9.21,-10.56,5.07,-2.56,4.27,-4.73
1954,1,-7.43,-2.12,-5.46,1.32,-2.46,-8.04,-3.62,-10.96,-17.11,-20.17,-11.59,-6.88,3.29,0.8,8.05,6.56,16.33,5.03,2.46,1.65,5.27,-10.36,-11.49,4.48,-1.85,5.93,-2.94
1954,2,-8.21,-2.85,-6.07,0.87,-2.45,-4.2,-2.62,-8.95,-11.5,-12.33,-6.38,-2.58,3.53,1.18,7.46,6.29,15.55,4.83,2.32,3.9,6.32,-9.65,-8.58,4.73,-1.42,6.58,-0.12
1954,3,-4.87,0.84,-2.13,4.07,0.78,2.34,2.02,-3.6,-4.45,-3.07,1.69,4.61,6.24,4.07,12.09,9.66,19.8,9.49,6.88,9.73,12.12,-2.73,-1.09,9,3.21,9.09,4.87
1954,4,2.55,6.17,4.13,8.43,5.8,7.78,6.86,2.96,2.77,3.18,7.51,9.36,10.1,8.18,16.17,13.74,23.16,14.43,11.39,14.8,17.71,1.79,2.61,12.65,7.14,11.41,5.81
1954,5,11.98,16.07,14.14,18.53,15.76,16.4,16.12,11.56,11.26,12.06,15.17,17.22,20.41,18.06,24.83,23.57,30.59,22.91,20.62,21.82,22.73,8.91,9.72,18.45,13.19,17.15,12.03
1954,6,19.53,24.54,21.81,26.08,22.87,25.92,24.73,21.16,21.29,21.85,23.23,25.34,26.74,24.77,31.6,29.65,35.4,30.33,27.97,28.88,29.09,15.75,17.4,24.5,19.7,22.34,18.09
1954,7,22.89,28.01,25.58,31.06,27.7,30.64,29.68,25.78,26.01,26.39,28.33,30.69,32.24,30.01,35.82,34.84,38.08,34.92,33.37,33.77,34.62,19.91,21.23,28.82,23.87,25.76,21.08
1954,8,20.93,25.91,23.89,29.4,26.27,29.09,28.21,23.88,23.63,23.43,26.73,29.47,30.3,28.37,34.57,33.06,37.81,33.44,31.59,33.18,34.22,18.83,19.8,27.75,22.64,25.2,20.88
1954,9,14.04,19.32,17.08,22.81,19.63,21.6,21.25,16.77,15.66,15.18,19.27,22.87,23.5,21.82,27.91,26.18,34.43,26.32,24.02,26.94,29.03,13.12,12.85,23.95,17.91,21.15,13.29
1954,10,4.46,8.43,6.71,11.08,8.08,10.79,9.54,5.58,4.92,5.77,9.23,12.48,11.47,9.83,17.04,14.41,26.65,15.93,12.95,17.43,20.85,6.02,6.69,18.89,12.28,16.71,8.24
