YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-12.92,-7.04,-9.89,-2.97,-6.11,-5.1,-4.71,-10.09,-13,-15.15,-3.96,-1.53,1.15,-1.79,10.22,6.88,18.31,6.47,3.33,7.05,10.28,-8.01,-9.23,4.87,-1.43,3.64,-3.75
1950,2,-18.64,-13.39,-17.53,-7.74,-12.13,-10.55,-10.49,-19.2,-21.17,-18.37,-6.68,-5.74,-3.01,-6.51,5.84,2.64,16.32,2.13,-1.29,4.02,8.44,-5.66,-8.03,7.19,0.08,6.03,-0.19
1950,3,-1.85,2.56,2.03,6.19,4.85,8.9,7.83,3.8,2.88,2.4,5.55,10.64,9.8,8,16.81,13.37,22.52,15.64,13,15.55,17.64,-1.71,-1.66,8.1,2.52,5.71,1.17
1950,4,2.69,7.02,5.77,10.51,8.43,11.9,10.2,5.88,5.35,6.22,10.01,13.84,12.55,10.87,18.94,15.93,25.46,18.23,15.17,19.93,23.46,3.56,2.78,13.53,8.21,10.51,4.23
1950,5,9.52,13.36,10.9,16.33,13.56,17.18,15.96,9.71,10.27,10.64,15.77,18.96,19.19,16.67,26.36,23.35,31.23,25.1,21.91,25.65,28.76,9,9.09,17.07,13.76,15.14,11.56
1950,6,15.54,19.97,17.43,23.37,19.98,23.86,22.66,15.33,15.26,16.35,22.37,25.48,26.58,23.72,33.4,30.87,35.94,31.9,29.33,31.86,33.84,12.89,12.23,19.63,16.57,17.92,14.08
1950,7,24.92,29.04,27.18,32.13,28.94,33.08,31.29,25.57,25.74,26.18,33.28,34.24,33.13,30.94,38.7,36.43,38.68,36.96,35.46,36.06,34.85,21.65,20.13,26.72,23.87,23.33,19.8
1950,8,20.88,25.68,23.37,29.5,25.98,30.17,28.56,21.19,20.84,21.23,28.82,31.16,31.59,29.18,37.26,35.14,38.78,35.18,33.56,33.86,34.13,19.88,16.83,25.36,21.57,21.08,16.96
1950,9,13.08,19.19,17.55,24.61,21.62,24.47,23.93,17.11,16.44,16.58,22.5,25.25,26.48,24.5,30.15,28.86,34.91,28.93,27.07,28.7,28.8,14.03,10.78,23.22,16,17.04,11.29
1950,10,9.42,13.18,11.47,15.75,12.83,13.74,14.03,9.09,7.35,6.27,11.04,14.53,16.65,14.71,21.41,19.67,28.71,19.87,17.64,19.54,22.51,5.14,4.38,17.33,10.35,15.04,7.18
1950,11,6.38,10.73,9.53,13.85,11.24,9.45,11.02,5.53,1.69,-2.39,4.51,10.22,15.76,13.47,22.13,19.49,27.22,19.14,16.25,15.46,16.56,-1.27,-3.42,8.94,2.83,7.17,-0.24
1950,12,-5.71,-1.22,-2.95,2.34,-0.61,0.79,0.9,-3.68,-7.1,-10.19,-1.06,2.96,3.9,1.93,11.56,8.05,19.8,9.67,6.12,9.35,12.06,-5.42,-6.75,6.25,-0.16,5.23,-2.49
1951,1,-15.42,-9.49,-12.24,-5.63,-8.68,-8.15,-7.74,-11.15,-13.46,-15.52,-8.26,-5.67,-1.88,-4.67,7.07,3.43,16.82,3.37,-0.25,2.53,6.62,-8.4,-9.29,8.1,-0.2,5.9,-2.65
1951,2,-9.65,-3.69,-6.63,0.38,-2.78,-3.07,-2.01,-9.97,-13.15,-15.21,-4.53,0.24,4.79,1.75,14.03,10.05,20.33,10.99,7.07,9.51,12.92,-9.28,-10.55,4.95,-1.87,3.69,-4.44
1951,3,-2.29,2.73,1.2,6.23,3.96,7.3,5.87,0.6,0.62,-1.58,7.29,10.06,9.48,7.24,16.5,13.04,22.92,14.86,11.7,15.74,18.47,2.4,-0.35,13.43,7.57,9.88,1.43
1951,4,1.89,6.41,4.61,9.83,7.77,13.32,11.13,5.8,6.97,8.47,14.58,16.68,13.93,11.62,22.83,18.65,27.44,21.69,18.3,23.2,26.51,8.44,7.06,18.91,12.97,14.33,6.78
1951,5,10.15,13.52,11.96,16.63,13.85,17.55,15.97,10.81,11.39,12.23,16.47,19.35,18.88,16.73,25.52,22.47,30.68,24.44,21.35,24.96,27.44,8.92,10.01,18.37,14.31,16.56,12.75
1951,6,15.9,20,17.8,22.88,19.9,24.29,22.44,16.44,16.82,18.17,24.14,26.16,24.9,22.48,33.02,29.26,36.37,31.92,28.7,32.96,34.52,13.77,13.8,20.14,17.5,18.39,15.74
1951,7,20.37,25.39,23.19,28.9,25.63,31,28.65,22.38,23.24,24.12,31.2,32.55,30.52,28.15,37.22,34.57,38.6,35.66,33.65,35.81,35.38,19.25,19.11,25.22,22.41,21.41,18.85
1951,8,20.4,25.04,23.22,28.18,25.04,29.46,27.79,23.39,23.73,25.02,29.31,30.45,30.28,27.69,36.49,34.26,38.57,34.82,32.56,34.02,33.63,18.47,18.27,24.84,20.37,21.18,16.87
