YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,262.95,266.66,265.3,269.49,267.98,267.51,268.91,265.19,262.36,261.38,265.9,269.62,272.32,270.65,276.56,275.24,282.63,275.49,273.72,274.19,273.76,265.22,266.84,274.57,270.65,276.29,272.24
1950,2,264.65,268.26,265.79,270.34,267.65,265.53,267.4,263.6,259.48,257.56,262.89,266.88,271.91,270.17,276.76,275.34,283.87,274.07,271.54,271.79,271.93,263.86,263.54,272.65,270.83,276.72,270.71
1950,3,270.4,273.8,272.38,276.23,274.65,275.95,275.7,271.2,270.62,268.9,270.45,277.01,278.72,277.43,281.9,280.79,285.81,280.96,279.59,278.56,276.22,267.32,270.62,273.83,272.63,277.88,276.81
1950,4,274.52,275.96,274.35,277.61,276.09,277.69,277.2,273.02,272.24,270.86,274.58,279.13,279.88,278.45,283.72,282.3,285.93,282.98,281.36,281.23,278.7,269.87,273.79,275.89,274.5,279.65,279.74
1950,5,279.41,283.05,282.38,287.13,286,287.17,287.2,281.1,280.01,279.52,284.27,287.77,288.65,287.85,289.49,289.59,289.7,290.28,289.14,289.68,288.92,277.85,278.12,278.8,279.59,280.48,279.78
1950,6,282.33,284.03,285.23,288.8,288.19,291.19,290.61,286.28,286.18,285.56,289.99,291.59,293,290.95,292.77,294.09,292.38,292.96,292.45,292.13,291.71,281.07,277.49,273.01,278.27,276.27,279.2
1950,7,284.94,286.47,287.19,290.85,289.37,290.57,290.6,287.97,287.24,288.54,291.95,289.49,293.27,291.38,294.48,295.01,293.3,291.76,290.19,289.75,288.11,284.99,279.18,276.87,279.36,278.07,279.78
1950,8,283.87,284.99,285.15,288.42,286.7,288.75,288.86,286.24,285.46,288.22,289.65,287.2,290.41,288.59,292.69,292.71,293.98,290.62,288.69,288.07,287.33,286.18,282.04,282.88,280.7,279.05,279.04
1950,9,281.21,283.83,283.67,287.66,285.9,283.22,284.78,282.27,281.38,281.57,284.37,282.57,288.46,287.11,291.03,290.17,294.05,287.29,285.13,284.89,287.3,281.15,279.01,282.98,281.09,280.31,276.43
1950,10,275.36,277.53,277.17,279.43,278.42,279.73,279.32,276.68,275.85,276.05,279.4,280.27,280.48,279.45,282.68,282.01,289.46,280.22,279.17,281.47,284.65,275.16,274.26,282.06,278.72,281.68,276.81
1950,11,271.26,274.4,273.12,276.3,274.51,273.94,274.42,271.5,268.73,267.13,270.13,274.43,276.48,275.47,279.29,278.42,286.66,278.38,276.6,278.06,280.02,266.94,267.42,276.88,271.71,275.75,271.9
1950,12,263.85,267.87,266.28,270.92,268.93,269.5,270.22,265.37,262.5,260.18,266.57,270.99,273.39,271.4,280.63,277.72,286.22,278.52,275.93,276.82,279.4,266.71,266.05,276.87,272.32,276.49,269.79
1951,1,262.45,266.29,265.3,268.6,266.58,264.96,266.1,263.4,260.4,259.48,263.75,266.53,270.62,268.2,278.99,275.94,286.2,274.84,271.99,273.11,275.62,263.48,263.52,275.09,270.17,276.05,268.82
1951,2,264.09,267.54,265.68,269.16,267.12,266,266.54,264.1,262.02,260.93,264.44,267.66,269.86,268.21,276.97,274.01,284.6,274.3,270.99,273.85,276.8,264.69,267.21,276.83,272.55,278.03,273.5
1951,3,265.29,269.66,267.91,273.33,271.58,273.93,273.69,266.4,265.72,267.36,271.32,276.04,276.89,275.34,283.12,280.41,286.58,282.13,280.17,279.49,279.44,270.22,271.89,278.25,275.77,280.04,276.99
1951,4,274.23,276.26,276.05,279.02,278.25,280.98,279.86,274.76,273.43,274.24,278.9,283.09,282.15,280.58,287.1,284.97,288.78,286.54,284.75,286.2,285.73,273.59,274.16,279.11,277.15,279.77,277.38
1951,5,277.85,279.79,279.72,282.97,282.51,285.89,284.93,279.84,278.68,279.83,284.39,287.79,286.32,284.72,292.37,289.75,292.1,291.23,289.59,290.89,288.91,275.73,277.58,274.49,275.81,279.46,279.93
1951,6,281.83,282.99,282.32,286.63,285.15,287.92,286.97,281.56,279.9,284.17,289.51,289.83,289.3,287.56,292.62,291.37,292.54,292.3,290.38,293.16,292.68,281.21,282.33,276.85,281.09,279.77,282.4
1951,7,285.57,285.89,286.92,290.15,289.31,291.52,290.9,287.06,286.07,287.61,292.77,293.03,292.89,291.19,294.2,294.38,293.99,293.48,293.29,293.98,291.88,283.59,282.93,273.68,279.95,278.95,280.66
1951,8,282.93,284.23,285.17,288.5,287.76,289.31,289.38,286,285.46,286.09,290.86,289.94,290.96,289.49,294.58,293.23,295.03,292.37,291.36,291.79,291.86,284.86,282.1,278.91,281.98,279.37,280.81
1951,9,281.93,282.68,284.27,285.84,285.48,286.99,287.23,284.36,283.57,282.5,287.28,287.81,287.8,286.69,290,289.25,292.67,288.75,287.25,289.65,291.12,282.29,279.82,285.79,280.74,278.59,279.05
1951,10,280.68,282.94,282.72,285.35,284.06,283.27,283.95,280.67,279.51,277.31,280.87,283.51,286.36,285.32,288.04,287.51,291.81,286.31,284.96,286.5,288.4,276.35,275.45,281.23,277.7,275.95,277.82
1951,11,271.99,275.7,274.39,277.96,276.02,274.98,275.88,271.95,269.28,266.72,270.83,275.93,278.68,277.51,282.09,280.76,287.31,280.94,279.01,279.73,281.04,266.1,267.87,274.32,270.06,271.9,272.27
1951,12,263.94,267.91,266.74,270.82,268.47,267.31,268.48,265.03,261.55,259.66,264.38,269.07,272.61,270.86,279.05,276.53,286.08,276.54,273.95,274.62,275.79,262.78,265.94,270.55,268.87,273.42,272.28
1952,1,262.49,266.5,264.95,269.38,266.53,265.15,265.87,262.44,259.58,257.85,266.4,267.98,270.73,268.3,278.91,275.84,286.48,275.3,272.42,274.76,276.62,266.81,266.07,276.59,272.47,277.98,269.93
1952,2,263.61,268.26,266.26,271.91,269.07,268.88,269.74,264.63,262.05,260.43,266.61,270.47,274.74,272.47,279.76,277.98,284.76,277.37,275.06,275.25,276.81,265.79,267,276.75,272.05,277.57,272.58
1952,3,273.49,276.44,274.42,278.45,276.26,274.31,275.6,270.34,267.7,265.51,271.73,275.31,279.92,278.42,284.45,282.53,288.77,282.02,279.83,279.92,280.08,269.94,270.61,279.04,274.92,278.95,275.24
1952,4,276.06,278.05,277.25,280.25,279.1,281.06,280.38,275.99,274.74,274.11,278.13,281.41,282.58,281.08,286.5,284.82,289.13,285.7,283.47,284.97,285.17,273.71,275.42,280.76,277.61,281.91,279.65
1952,5,279.2,282.32,281.7,286.12,284.79,287.34,286.93,281.91,282.46,282.23,285.6,287.95,288.79,287.22,290.66,290.28,291.54,290.31,288.8,290.63,289.63,277,279.34,279.99,279.08,281.37,282.06
1952,6,283.5,285.71,287.24,290.19,290.03,292.45,291.97,288.36,287.84,287.26,292.01,292.87,293.12,291.9,294.54,294.25,294.15,294.11,292.74,294.52,292.84,283.53,283.61,280.65,282.97,283.08,283.04
1952,7,282.91,285.5,286.31,290.34,289.89,293.92,293.08,287.98,287.63,288.55,292.94,293.94,294.02,292.4,295.75,295.75,294.11,294.7,294.67,293.86,292.76,284.94,284.96,277.99,283.55,282.87,283.94
1952,8,282.46,284.76,285.57,288.7,287.59,290.82,290.56,287.88,287.57,288.51,291.93,290.94,291.45,289.93,294.76,294.21,294.3,293.09,292.08,292,291.49,285.55,284.2,283.84,284.06,280.63,281.71
1952,9,283.45,285.4,284.75,288.3,285.61,286.31,285.91,284.75,284.48,284.03,286.28,286.21,289.04,287.14,289.75,290.56,292.39,287.54,286.4,288.5,290.65,280.9,280.15,283.57,282.14,278.84,279.8
1952,10,275.31,277.41,277.39,279.78,278.32,278.9,278.81,277.53,276.33,274.96,277.77,278.72,279.95,278.88,279.65,280.85,286.45,278.02,277.9,279.37,282.17,273.82,273.85,277.36,276.29,276.23,277.01
1952,11,270.36,275.2,273.7,278.49,276.1,274.62,276.42,271.87,268.44,265.86,270.6,275.72,280.79,278.67,286.36,284.63,290.19,283.22,281.2,280.48,282.22,267.39,267.12,273.37,271.39,272.56,270.71
1952,12,261.49,265.6,263.51,269.19,266.85,267.85,268.42,263.74,260.81,259.39,266.6,270.14,270.75,269.58,278.35,275,284.19,276.26,273.25,275.95,278.19,265.46,265.24,272.79,270.19,273.54,270.22
1953,1,261.61,266.5,264.01,269.61,267.44,267.07,267.91,262.77,259.89,258.78,265.65,269.66,272.34,270.14,279.44,276.82,285.33,276.66,274.12,275.56,277.59,264.56,264.87,274.17,270.58,275.23,269.53
1953,2,260.55,264.74,261.44,267.45,264.45,264.4,265.66,261.27,259.17,260.5,267.66,267.07,269.23,267.37,276.05,273.4,282.64,273.88,270.81,274.88,276.78,268.38,269.21,276.97,273.81,278.8,275.17
1953,3,266.46,270.51,268.29,274.22,271.8,275.11,274.36,268.36,268.82,267.39,271.51,276.87,278.03,275.92,283.43,281.22,287.17,282.28,280.17,280.96,279.57,267.97,269.19,276.67,273.13,277.26,274.53
1953,4,274.26,277.72,276.96,281.41,280.66,283.65,282.89,278.56,279.32,277.06,277.78,284.02,283.93,282.95,286.39,285.32,287.69,286.86,285.64,285.62,284.27,272.24,274.35,279.62,276.31,279.96,278.12
1953,5,279.11,280.8,280.5,283.56,281.95,282.91,282.73,279.37,278.71,278.73,282.76,284.36,284.75,283.48,287.94,286.51,291.21,287.66,285.91,288.68,289.66,278.22,276.9,280.13,280.63,281.66,280.12
1953,6,284.08,286.52,287.15,290.82,289.9,290.76,290.81,286.35,285.6,285.17,288.96,291.56,292.9,291.54,293.92,293.78,294.05,293.89,293.06,293.89,292.68,279.1,279.47,271.91,278.39,278.31,281.73
1953,7,285.82,286.88,287.75,290.85,290.15,291.19,291.2,287.99,286.51,286.69,291.21,291.52,292.73,291.49,294.73,294.31,293.98,293.24,292.77,291.91,289.78,284.08,284.27,281.88,284.23,280.79,285.16
1953,8,283.64,284.68,285.35,288.39,287.48,289.77,289.96,286.74,286.08,286.43,289.43,287.14,291.46,289.84,294.39,294.38,293.78,291.34,290.22,288.05,287.85,285.29,283.24,282.55,282.36,279.47,280.69
1953,9,281.15,283.24,284.13,286.52,285.79,285.85,286.91,284,280.93,280.45,283.62,285.4,287.55,286.41,291.31,290.5,295.31,289.14,287.54,287.55,287.97,280.2,279.17,281.88,281.48,280.65,279.19
1953,10,277.8,279.9,279.26,281.77,280.47,280.74,281.08,278.41,277.43,275.3,277.16,280.41,282.2,281.43,283.56,283.4,289.22,282.1,280.82,281.5,283.29,275.07,275.38,280.36,277.88,278.5,278.26
1953,11,268,272.39,271.99,275.55,274.28,274.17,274.92,271.78,269.42,266.69,270.66,275.51,276.66,275.48,282.14,279.7,288.48,280.72,278.37,280,281.65,268.59,266.34,277.29,272.09,273.43,269.06
1953,12,264.84,268.91,267.37,271.49,268.75,267.56,268.98,266.41,263.04,261.06,264.23,268.54,271.77,270.39,277.16,275.11,283.81,274.62,272.01,273.12,275.41,262.96,264.3,270.4,267.81,270.04,268.99
1954,1,264.46,268.51,267.4,271.59,269.59,266.08,268.62,265.75,261.39,258.64,263.68,267.47,272.56,271.07,278.11,276,285.41,276.18,273.67,274.52,276.14,264.08,265.31,270.86,269.77,274.25,271.85
1954,2,263.21,267.12,265.02,268.77,265.84,264.86,265.43,264.59,260.58,258.88,263.98,267.31,267.38,266.38,272.57,270.43,281.1,271.5,269.55,272.87,275.57,265.03,267.38,277.62,273.64,279.21,273.11
1954,3,268.34,270.6,268.77,271.98,270.42,276.24,274.39,270.02,271.42,270.6,274.44,278.52,274.9,273.69,281.91,278.27,285.8,282.37,280.21,283.01,281.2,271.23,272.56,275.86,274.78,278.43,277.46
1954,4,274.95,277.22,276.87,279.54,278.91,280.37,280.03,275.83,275.39,274.22,276.99,281.29,281.2,280.67,285.03,282.19,289.27,285,282.39,285.32,284.67,273.14,274.69,274.26,275.63,279.41,279.89
