YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,264.2,269.46,266.9,272.97,270.26,270.95,271.33,266.66,264.09,262.18,272.12,273.93,276.22,273.9,282.91,280.55,288.77,280.06,277.68,280.56,282.89,268.53,267.41,278.88,273.91,278.32,272.08
1950,2,259.02,263.8,260.03,268.9,265.03,266.45,266.55,258.51,256.65,259.24,269.89,270.69,272.99,270.07,279.96,277.5,287.42,277.11,274.43,278.64,281.89,270.6,268.43,280.85,275.21,280.31,275.12
1950,3,274.14,277.8,277.35,280.79,279.6,282.55,281.73,278.5,277.85,277.76,280.25,283.86,283.36,282.03,287.99,285.74,291.88,287.17,285.41,287.19,288.35,274.09,273.98,281.91,277.24,280.13,276.19
1950,4,278.15,281.53,280.51,284.29,282.54,285.27,283.78,280.41,280.28,281.42,283.92,286.6,285.56,284.38,289.61,287.76,293.81,289.1,287.15,290.2,292.33,278.5,277.88,287.42,282.32,284.57,278.83
1950,5,283.28,285.95,284.1,288.15,285.81,288.29,287.29,283.1,283.78,284.4,287.78,289.46,289.47,287.82,293.77,292.05,297.2,292.93,290.9,293.52,295.78,282.93,283.07,291.39,287.3,288.58,284.8
1950,6,287.55,290.48,288.76,292.68,290.22,292.38,291.57,287.23,287.41,288.17,291.55,293.3,293.81,292.22,297.56,296.14,299.77,296.72,295.12,296.98,299.19,286.34,285.47,295.19,290.65,291.64,286.73
1950,7,293.06,295.42,294.42,297.55,295.42,297.8,296.57,293.55,293.96,295.04,298.06,298.58,297.58,296.45,300.14,299.08,300.89,299.86,298.66,300.62,302.03,292.1,292.32,300.47,296.69,296.65,292.18
1950,8,290.58,293.5,292.09,296.04,293.51,296.03,294.77,290.8,290.86,291.82,295.66,297.51,296.53,295.22,299.51,298.38,300.91,299.03,297.83,300.39,301.52,291.31,290.12,299.87,295.12,295.1,290.17
1950,9,285.36,289.42,288.23,292.77,290.51,292.23,291.77,287.72,287.32,287.75,291.65,293.26,293.4,292.24,295.68,294.89,298.99,295.12,293.83,296.08,296.73,286.95,285.05,295.37,289.48,291.04,285.11
1950,10,282.61,285.41,284.02,287.39,285.01,285.73,285.78,282.26,281.11,280.61,284.76,286.68,287.55,286.3,290.79,289.54,295.52,290.1,288.35,290.58,293.08,279.86,279.05,289.48,284.05,288.23,280.9
1950,11,280.26,283.62,282.53,285.77,283.76,282.43,283.5,279.5,276.63,273.39,279.28,283.24,286.8,285.3,290.71,289.21,294.22,288.93,287.1,287.04,288.02,274.25,272.38,282.18,277.4,281.06,274.89
1950,12,270.57,274.42,272.93,277.31,274.88,275.92,276.05,272.19,269.33,266.69,274.78,277.74,278.37,276.93,283.86,281.43,289.7,282.6,280.07,282.61,284.49,270.83,269.62,279.99,274.96,279.34,273.1
1951,1,261.96,267.29,264.8,270.72,268,268.47,268.77,265.77,263.7,261.79,268.31,270.58,273.85,271.52,280.78,278.08,287.95,277.91,275.08,277.25,280.22,268.16,267.29,281.35,274.85,279.89,272.97
1951,2,267.12,272.34,269.78,275.74,273.07,272.9,273.7,266.84,264.09,262.22,271.88,275.65,279.07,276.75,285.57,282.85,290.1,283.42,280.65,282.54,284.84,267.51,266.31,279.2,273.64,278.56,271.56
1951,3,273.68,277.87,276.56,280.66,278.75,281.12,280.03,275.76,275.92,274.17,281.16,283.21,283.02,281.36,287.78,285.47,292.12,286.7,284.47,287.24,288.77,277.21,274.95,285.35,280.93,282.93,276.5
1951,4,277.4,281.06,279.56,283.73,281.9,285.83,284.23,280.38,281.47,282.78,286.85,287.98,286.3,284.75,291.87,289.29,294.95,291.13,288.94,292.13,294.5,282.2,281.12,290.88,285.66,287.21,280.64
1951,5,283.78,286.06,284.9,288.29,286.08,288.43,287.31,283.85,284.27,285.17,288.02,289.72,289.56,288.03,293.46,291.84,296.91,292.81,290.88,293.37,294.94,282.76,283.85,291.66,287.26,289.58,285.72
