YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-16.04,-11.75,-14.53,-7.86,-10.51,-8.39,-8.98,-15.1,-16.76,-15.18,-3.79,-3.46,-4.77,-6.54,2.31,-1.06,11.22,0.68,-2.4,2.87,5.56,-7.18,-7.77,2.22,-2.37,3.52,-1.31
1950,2,-10.09,-6.9,-9.41,-5.16,-7.76,-5.93,-5.98,-8.75,-11.04,-11.04,-2.23,-3.1,-3.39,-5.13,3.74,0.7,9.95,2.15,-1.03,5.06,8.89,-2.41,-2.51,5.91,2.41,7.8,3.66
1950,3,-2.83,2.44,-0.52,4.63,2.82,2.28,3.11,-3.11,-4.38,-5.16,0.22,3.8,7.83,5.88,13.35,11.21,16.88,10.96,8.44,9.26,11.68,-0.12,-1.06,9.89,5.53,8.94,3.49
1950,4,5.65,8.93,7.69,10.24,9.33,10.78,10.33,6.27,6.02,5.74,9.32,12.12,12.52,11.13,16.58,14.58,19.91,15.88,14,16.27,17.47,3.67,4.42,9.51,6.65,9.65,6.09
1950,5,9.01,12.22,11.11,14.13,12.55,14.71,13.8,9.81,10.07,11.13,14.63,16.58,15.73,14.23,19.71,18.26,22.56,18.59,17.29,19.42,20.71,9.58,8.95,14.29,12.11,13.68,9.36
1950,6,15.07,17.77,16.15,19.39,16.75,19.39,18.27,15.33,16.01,17.31,18.83,19.97,19.64,18.21,22.75,21.63,24.61,22.08,20.57,22.32,23.3,13.6,15.22,18.13,16.06,17.15,15.36
1950,7,16.35,19.37,18.16,21.75,19.69,23.09,21.84,17.93,18.21,17.75,21.59,24.23,23.41,21.85,26.11,25.19,26.35,25.57,25.28,25.34,25.06,15.86,15.46,19.9,17.43,18.23,16.17
1950,8,14.55,18.42,17.23,21.84,19.72,22.41,21.81,16.8,17.36,18.23,20.44,23.25,23.53,22.29,25.81,24.94,26.06,25.57,25.11,24.98,24.43,15.84,16.06,20.44,17.2,17.65,14.68
1950,9,13.55,16.58,16.34,19.32,17.89,18.94,19.25,15.27,14.09,12.12,15.48,19.57,20.32,19.27,23.39,22.1,25.27,23.2,22.38,22.24,22.55,10.29,8.72,16.26,12.55,14.6,10.74
1950,10,5.98,9.29,8.36,12.2,10.12,11.87,10.98,8.56,8.07,7.96,10.87,12.82,12.72,11.44,16.07,14.7,20.98,14.87,13.22,15.53,17.42,7.81,7.53,14.19,10.42,13.6,8.66
1950,11,0.28,3.78,2.13,5.69,3.41,4.32,4.18,0.76,-1.17,-0.86,4.25,5.95,6.48,5.13,10.01,8.9,15.55,9.35,7.35,10.48,12.18,1.22,1.19,9.02,4.41,9.21,3.77
1950,12,-8.06,-3.4,-5.67,-0.62,-3.46,-2.62,-2.62,-7.3,-9.81,-10.06,-2.34,0.5,0.97,-0.72,5.86,3.88,12.87,4.99,2.82,5.59,7.08,-6.84,-6.23,2.63,-1.8,3.78,-0.43
1951,1,-5.65,-1.07,-3.17,1.19,-0.86,-0.96,-0.35,-5.67,-8.89,-9.99,-4.73,0.59,3.02,1.34,8.5,6.38,13.87,6.45,4.19,5.21,6.15,-8.74,-7.41,2.45,-2.93,3.44,-1.27
1951,2,-4,2.01,-0.81,4.3,2.2,1.68,2.12,-5.95,-8.16,-6.94,0.65,4.95,6.27,4.62,10.34,8.76,14.84,9.75,8.03,10.07,11.28,-3.65,-2.1,6.61,2.84,7.54,2.98
1951,3,0.75,5.87,4.09,9,7.29,8.9,9.01,2.97,2.14,2.21,5.97,10.01,11.87,10.31,15.89,13.94,19.11,14.47,12.52,12.96,12.73,-0.37,-0.15,7.47,3.97,8.5,3.92
1951,4,3.7,8.36,6.26,10.54,8.6,11.15,10.13,4.83,4.95,6.02,10.11,13.11,12.33,10.88,16.19,14.69,20.51,15.25,13.32,16.25,17.43,4.49,5.49,11.22,8.15,11.29,8.23
1951,5,8.29,11.41,9.41,13.24,10.82,13.7,12.45,8.54,9.7,11.66,14.35,15.11,14.17,12.84,18.23,16.78,22.53,17.43,15.41,18.64,19.76,8.92,11.16,14.41,12.27,14.1,13.18
1951,6,14.48,17.52,15.8,19.41,16.99,19.03,18.46,14.33,14.73,15.46,17.93,19.77,20.05,18.71,22.64,21.69,24.63,22.16,20.95,22.31,22.93,11.67,13.64,16.23,14.04,15.69,14.33
1951,7,17.27,20.31,19.71,22.98,21.27,23.5,23.07,19.45,19.65,18.62,21.78,23.66,23.84,22.7,25.31,24.76,25.83,25.02,24.11,24.73,24.74,15.98,15.05,19.78,17.39,18.55,15.34
1951,8,16.49,19.38,17.47,20.81,18.04,18.97,18.57,15.26,14.54,14.24,18.43,20.13,21.4,19.51,24.55,23.61,25.55,23.41,22.24,23.46,24.63,15.04,14.27,19.73,17.56,18.46,16.33
1951,9,13.28,16.8,16.05,19.51,17.87,17.11,18.4,11.26,7.95,6.1,11.48,17.76,20.42,19.3,22.86,21.52,24.79,21.89,20.44,21.22,22.6,9.59,7.27,16.85,12.84,14.86,11.05
1951,10,5.45,8.49,7.93,10.88,8.76,10.94,10.16,9.21,8.89,8.97,11.34,11.81,11.58,10.15,16.79,14.18,21.49,14.91,12.71,15.29,17.46,7.87,6.86,13.55,9.77,12.77,7.98
1951,11,3.47,6.61,4.83,7.69,5.64,4.51,4.89,2.91,1.47,0.91,3.59,5.5,7.73,6.63,10.17,9.48,16,8.39,6.83,8.58,10.71,-0.26,-0.56,7.72,3.62,8.68,1.16
1951,12,-5.11,-1.46,-3.38,0.65,-1.3,-1.29,-1.22,-5.19,-6.98,-7.04,-1.76,0.75,1.51,0.43,5.11,3.8,11.07,4.72,2.76,5.42,7.01,-4.05,-4.27,3.8,0.07,5.78,-0.1
1952,1,-7.07,-2.12,-4.16,1.16,-1.12,-0.71,-0.77,-4.7,-7.54,-8.39,-1.25,1.22,2.91,0.93,7.02,5.76,12.84,5.31,3.21,5.82,6.51,-4.78,-6.14,3.6,-1.62,4.73,-2.43
1952,2,-6.76,-1.68,-5.54,0.65,-2.24,-2.3,-1.52,-8.4,-9.75,-9.58,-1,1.12,3.51,1.33,9.43,6.94,14.27,7.84,5.33,8.04,10.29,-1.13,-3.24,8.2,3.43,8.64,1.66
1952,3,-2.52,1.52,-0.73,4.01,2.28,4.82,4.55,-0.82,0.07,1.78,5.87,7.63,7.17,5.56,12.31,10.1,16.11,11.52,9.5,12.11,13.45,0.91,1.97,8.57,5.03,9.23,5.14
1952,4,5.44,9.24,7.58,11.13,9.24,10.24,10.11,5.65,5.05,4.26,7.63,11.58,12.54,11.19,17.2,15.22,20.68,15.88,13.55,15.65,16.09,2.07,1.1,8.81,5.32,8.46,3.98
1952,5,12.09,15.3,14.68,17.18,16.18,18.08,17.52,14.82,15.1,13.4,16.08,18.11,18.26,17.42,20.22,19.38,22.02,20.3,19.04,20.47,21.1,8.4,7.06,12,9.65,10.73,8.16
1952,6,16.43,19.25,16.77,20.02,17.52,19.04,18.28,14.49,14.81,16.15,19.2,20.13,20,18.82,22.89,21.69,24.31,22.41,20.99,22.99,23.76,13.65,14.08,17.23,15.4,16.41,15.04
1952,7,19.29,21.43,19.79,22.6,20.26,20.96,20.5,18.03,17.12,16.49,20.28,21.59,22.16,20.93,24.28,23.67,25.07,23.7,22.76,23.74,24.51,16.16,14.55,20.42,17.46,18.51,14.76
