YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-8.13,-3.39,-5.62,-0.1,-2.58,-3.53,-2.2,-6.51,-9.79,-10.02,-4.27,-1.28,2.45,0.59,7.14,5.62,13.51,5.03,2.83,4.71,7.52,-5.34,-4.22,6.12,1.24,6.88,0.89
1950,2,-6.51,-2.12,-5.81,0.11,-3.74,-6.03,-4.4,-8.53,-12.63,-13.81,-7.05,-3.63,2.14,-0.45,7.45,5.83,14.17,4.17,1.54,4.42,8.82,-6.94,-7.91,6.32,1.77,7.66,-0.7
1950,3,-0.44,3.41,1.09,5.74,3.25,4.73,4.07,-0.68,-0.97,0.29,4.35,6.72,8.08,6.42,13,10.71,17.56,11.51,9.1,12.93,15.64,0.25,1.14,10.12,5.9,9.69,5.42
1950,4,4.42,7.21,4.81,8.3,5.82,7.83,6.76,4.51,5.36,7.29,9.17,9.59,9.44,7.68,15.35,12.91,20.4,13.54,11.19,15.25,18.51,4.23,6.15,12.92,9.11,11.72,9.5
1950,5,11.47,14.4,13.33,17.61,15.93,18.06,16.82,12.43,13.97,14.31,16.84,19.52,19.66,17.77,22.56,21.46,25.56,20.63,19.39,21.44,22.7,9.9,10.76,18.49,14.86,18.27,13.91
1950,6,18.35,21.3,20.2,23.2,21.76,24.58,23.23,18.67,18.4,18.78,23.23,26.07,24.08,22.95,28.87,26.79,28.85,28.57,27.2,29.09,28.01,15.66,15.86,23.78,19.28,20.56,14.74
1950,7,20.66,23.21,22.03,25.23,23.11,26.53,24.63,21.28,21.86,22.93,27.61,28.23,25.22,24.12,28.82,27.85,29.58,28.76,28.26,30.84,30.53,21.02,23.53,28.14,25.31,25.83,21.53
1950,8,16.82,20.27,18.41,22.76,20.02,24.13,21.58,17.96,19.57,21.83,26.66,27.06,22.38,21.31,27.74,24.86,28.21,27.12,26.03,29.58,30.02,19.67,22.88,28.06,24.64,25,22.23
1950,9,12.38,14.51,13.51,16.74,14.51,17.66,15.71,12.73,12.3,14.95,19.16,20.72,16.81,15.79,20.29,18.95,25.35,21.3,19.65,25.22,26.14,13.82,14.98,22.44,17.78,20.58,18.7
1950,10,4.75,8.11,6.41,9.99,7.6,10.01,8.96,6.12,5.85,6.68,10.02,12.15,10.1,8.96,14.25,12.47,19.62,14.44,12.01,17.16,18.1,5.47,7.82,15.8,11.04,16.93,13.81
1950,11,0.62,4.22,2.15,6.06,3.58,5.29,4.75,0.8,-0.62,-0.56,4.65,7.03,6.84,5.47,9.95,8.97,15.99,8.89,7.68,9.98,10.97,1,1.29,10.06,5.39,11.82,5.71
1950,12,-7.53,-2.94,-5.08,0.49,-2.07,-1.47,-0.87,-6.62,-10.02,-12.04,-1.4,1.82,3.34,1.18,10.4,7.33,15.86,8.33,5.68,8.72,11.22,-2.44,-6.07,6.53,1.92,6.34,-1.72
1951,1,-8.04,-3.27,-5.31,-0.57,-3.22,-4.92,-3.5,-8.26,-11.72,-12.07,-4.08,-2.11,1.22,-0.8,7.81,5.28,14.87,4.21,1.72,3.21,4.86,-6.37,-7.73,5.59,-0.67,6.36,-1.39
1951,2,-7.01,-2.59,-5.33,-0.2,-3.28,-3.16,-2.96,-7.78,-10.13,-10.56,-1.92,0.16,1.69,-0.3,7.07,4.93,13.84,5.04,2.66,6.05,7.74,-3.44,-4.08,8.16,2.82,9.08,2.56
1951,3,-4.21,-0.26,-2.72,2.71,0.05,3.15,2.41,-4.89,-5.92,-3.48,6.39,7.17,6.21,4.03,13.5,10.08,18.19,12.69,9.71,15.9,19.02,3.4,2.39,13.53,8.54,11.35,6.11
1951,4,3.87,6.85,5.35,9.47,7.27,10.58,9.14,4.5,5.19,7.18,9.82,12.65,11.61,9.84,17.38,15.16,22.69,16.01,14.28,16.73,18.59,6.15,6.42,15.21,10.08,12.04,7.19
1951,5,9.18,12.4,10.87,14.78,12.72,15.96,14.97,11.29,12.81,11.78,15.39,16.98,16.36,14.83,21.91,19.32,26.35,21.17,18.79,22.82,25.89,11.79,9.98,19.12,15.46,16.33,11.3
1951,6,13.01,15.89,14.08,17.66,15.46,18.83,17.27,15.03,17.17,17.89,20.14,19.95,18.73,17.14,24.22,21.46,28.93,23.06,20.66,25.31,28.48,15.99,16.73,24.35,20.56,20.92,18.04
1951,7,18.94,22.19,20.42,23.38,20.55,23.52,21.97,20.42,21.26,21.07,22.57,23.49,22.37,21.36,28.05,26.05,29.6,26.08,24.28,27.3,28.4,17.79,18.58,26.08,23.09,23.63,21.35
1951,8,15.98,20.28,17.99,22.82,19.35,21.93,20.39,17.38,18.49,20.44,20.85,22.53,21.29,20.39,26.53,24.29,28.55,25.54,23.05,26.18,27.27,16.5,19.94,26.54,21.86,24.28,20.75
1951,9,14.76,17.77,16.3,18.75,16.37,19.23,17.41,15.08,14.94,15.54,16.97,18.96,17.33,16.52,22.61,20.7,26.15,22.3,20.55,21.92,22.45,11.66,13.19,20.07,16.04,20.32,16.31
