YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-15.99,-11.64,-14.46,-7.55,-10.3,-8.04,-8.7,-15.06,-16.72,-15.08,-3.12,-2.85,-4.28,-6.09,2.88,-0.56,11.96,1.27,-1.86,3.59,6.53,-6.4,-7.56,3.9,-1.44,4.61,-1.07
1950,2,-9.98,-6.67,-9.29,-4.77,-7.57,-5.58,-5.66,-8.56,-10.94,-10.9,-1.56,-2.58,-2.98,-4.81,4.59,1.37,10.99,2.87,-0.43,6.05,10.58,-1.14,-2.02,8.19,4.03,9.4,4.05
1950,3,-2.33,3.24,0.17,5.42,3.69,3.14,3.89,-2.57,-3.92,-4.78,1.35,4.81,8.61,6.68,14.14,12.02,18.08,11.7,9.24,10.55,13.92,1.14,-0.34,13.18,7.67,10.39,4.17
1950,4,6.59,10.11,8.92,11.51,10.73,12.25,11.65,7.45,7.48,7.36,11.93,13.73,13.92,12.48,17.75,15.75,22.17,16.95,15.27,17.94,20.92,5.5,5.75,13.37,9.36,11.84,7.1
1950,5,10.06,13.4,12.48,15.52,14.37,16.57,15.55,11.32,11.79,13.84,18.66,19.42,17.62,15.98,21.23,19.69,24.77,20.46,19.44,22.4,24.82,12.46,11.25,20.46,16.74,17.37,10.79
1950,6,16.01,18.91,17.4,21,18.43,23.21,20.44,17.46,19.3,22.57,24.77,24.56,21.95,20.08,25.1,23.8,27.8,24.66,23.4,26.22,27.89,17.81,18.99,24.1,21.27,21.55,18.79
1950,7,17.76,21.04,19.98,25.04,22.38,27.73,25.25,20.9,22.5,23.32,27.45,29.35,26.8,24.92,31.06,29.35,31.66,30.18,29.75,30.48,30.33,20.43,20.3,26.41,23.38,23.39,20.85
1950,8,15.65,19.73,18.75,24.23,21.95,27.33,25.59,19.81,21.72,23.97,26.31,28.39,26.97,25.39,30.34,29.02,31.01,30.19,29.54,30.05,29.56,20.39,21.35,26.41,23.15,22.56,18.81
1950,9,14.54,17.54,17.44,20.97,19.3,22.82,21.84,17.38,16.81,15.05,19.6,23.6,22.05,20.97,26.01,24.36,29.6,25.86,24.91,25.57,26.71,13.3,10.92,21.55,16.76,18.63,12.95
1950,10,6.8,10.21,9.16,13.33,10.95,13.26,11.87,9.62,9.29,9.43,13.18,14.72,13.92,12.43,18.73,16.73,24.23,16.25,14.2,17.32,21.16,9.83,8.89,16.89,13.07,15.84,9.67
1950,11,0.72,4.46,2.75,6.63,4.11,5.09,4.78,1.27,-0.69,-0.2,5.64,7.05,7.32,5.88,11.06,9.94,17.38,10.17,8.07,11.73,13.96,2.37,2.01,10.41,5.86,10.8,4.4
1950,12,-7.83,-2.85,-5.36,0.1,-2.92,-2.19,-2.19,-7.21,-9.71,-9.85,-1.65,1.17,1.73,-0.03,6.67,4.69,14.01,5.76,3.53,6.49,8.23,-6.27,-5.95,4.06,-0.83,4.98,-0.1
1951,1,-5.4,-0.61,-2.78,1.75,-0.3,-0.33,0.25,-5.37,-8.72,-9.75,-4.28,1.33,3.53,1.94,9.01,6.89,15.05,7.02,4.76,5.93,7.09,-8.28,-7.16,3.67,-2.18,4.45,-0.98
1951,2,-3.64,2.7,-0.26,5.09,2.99,2.24,2.69,-5.73,-7.95,-6.59,1.63,5.84,7.07,5.4,11.18,9.61,16.27,10.51,8.79,11.29,13.32,-2.68,-1.59,8.76,4.46,8.99,3.48
1951,3,1.53,6.82,4.98,9.98,8.27,9.96,9.95,3.74,2.93,3.15,7.73,11.33,12.87,11.3,16.7,14.82,21.13,15.29,13.48,14.16,14.49,0.9,0.71,10.09,5.73,10.66,4.68
1951,4,4.69,9.54,7.35,11.77,9.89,12.79,11.49,5.83,6.11,7.57,12.49,15.33,13.74,12.25,17.14,15.8,22.77,16.37,14.57,18.16,19.79,5.78,6.87,14.81,10.2,13.64,9.62
1951,5,9.47,12.78,10.8,14.83,12.47,15.68,14.27,10.02,11.43,14.75,18.49,17.56,15.63,14.41,20.2,18.35,25.64,18.86,16.75,20.54,22.1,11.02,13.38,19.16,15,17.47,15.29
1951,6,15.89,19.24,17.53,21.42,19.11,22.04,20.98,16.5,17.71,20.01,22.17,22.91,22.61,21.23,24.98,23.85,28.96,24.39,22.51,24.91,26.21,14.52,16.79,22.23,18.14,20.19,17.03
1951,7,18.85,22.32,21.65,25.93,23.57,27.23,25.64,22.18,22.83,23.23,27.08,27.99,27.25,25.65,29.16,28.14,30.54,28.49,26.74,29.09,29.64,20.26,19.24,26.19,23.43,23.95,19.17
1951,8,18.03,21.64,19.39,23.31,19.89,23.08,20.86,17.66,17.33,18.06,23.58,24.55,23.15,21.29,27.55,25.68,29.97,25.85,23.37,27.38,29.64,19.06,18.17,26,23.01,23.35,20.23
1951,9,14.3,18.06,17.21,20.98,19.29,18.13,19.21,12.28,8.89,7.12,13.15,19.3,22.66,21.08,24.4,22.68,28.55,23.04,20.82,24,26.76,11.76,8.91,21.85,17.02,18.85,13.25
1951,10,6.3,9.58,8.79,12.28,9.83,11.74,10.96,10.06,9.72,10.1,12.87,12.7,12.88,11.34,17.9,15.21,23.99,15.87,13.45,16.59,19.85,9.66,8.06,17.31,12.1,15.81,8.81
1951,11,4.15,7.47,5.59,8.75,6.48,5.2,5.49,3.57,2.19,1.73,4.76,6.32,8.64,7.53,11.05,10.32,17.78,9.19,7.46,9.59,11.88,0.97,0.24,11.09,5.26,10.82,1.66
1951,12,-4.7,-0.82,-2.94,1.4,-0.68,-0.75,-0.82,-4.95,-6.63,-6.54,-1.03,1.4,2.22,1.12,5.82,4.51,12.1,5.37,3.34,6.17,7.88,-3.03,-3.7,6.56,1.46,7.61,0.27
1952,1,-6.86,-1.6,-3.87,1.91,-0.57,-0.2,-0.25,-4.53,-7.43,-8.21,-0.62,1.84,3.69,1.63,7.72,6.55,13.78,5.98,3.88,6.65,7.45,-3.99,-5.92,4.73,-0.91,5.56,-2.23
1952,2,-6.43,-1.02,-5.12,1.41,-1.57,-1.72,-0.87,-8.11,-9.52,-9.36,-0.26,1.86,4.27,2.06,10.2,7.7,15.21,8.52,6,8.79,11.05,-0.02,-2.83,9.9,4.51,9.79,2.06
1952,3,-1.92,2.4,0.01,4.95,3.18,5.48,5.31,-0.36,0.6,2.57,6.89,8.51,8.16,6.49,13.44,11.2,17.38,12.56,10.55,13.17,14.7,1.92,2.85,10.41,6.48,10.59,5.82
1952,4,6.53,10.52,8.78,12.51,10.69,11.4,11.38,6.65,5.98,5.37,9.02,12.89,13.89,12.58,18.12,16.22,21.91,16.82,14.64,16.94,18.36,3.4,2.06,12.24,7.71,10.69,4.92
1952,5,13.71,17.44,16.46,19.16,18.36,20.61,19.35,16.74,17.1,15.66,20.01,20.82,20.35,19.36,21.18,20.52,24.17,21.52,20.31,22.86,24.16,11.08,8.39,16.94,12.82,13.09,9.36
1952,6,17.75,20.57,18.26,20.9,19.13,21.22,19.39,16.32,16.86,19.88,23.79,23.12,20.9,19.89,23.52,22.4,26.72,23.38,21.72,25.69,27.8,17.23,17.13,23.96,20.48,20.88,17.74
1952,7,20.68,23.39,21.49,24.61,21.86,24.21,21.89,20.1,20.03,20.26,25.52,25.61,24.12,22.43,26.81,26.2,28.81,25.82,24.37,27.37,29,20.71,18.41,26.94,23.54,23.84,18.83
1952,8,18.27,21.89,20.6,24.07,21.72,24.89,21.66,20.81,21.7,22.96,25.1,26.04,23.29,21.98,25.11,24.87,28.55,24.31,22.86,27.32,28.04,18.23,18.33,25.01,20.86,23.45,19.14
1952,9,13.78,16.87,14.76,18.22,15.43,15.73,15.51,12.56,11.06,10.44,13.93,16.75,17.83,16.44,20.85,19.94,26.47,19.19,17.75,20.38,23.9,11.55,11.7,22.88,17.98,22.76,17.39
1952,10,9.16,12.91,12.24,15.81,14.42,15.07,15.23,11.39,10.21,7.13,11.71,16.44,16.99,16.04,19.43,18.12,24.57,19,17.82,19.17,21.08,6.79,3.45,14.87,10.3,13.08,5.3
1952,11,0.47,3.06,1.66,5.23,2.73,3.91,4.18,-0.27,-1.39,-1.64,2.05,4.2,5.95,4.65,10.3,8.49,17.41,8.74,6.86,8.81,10.54,-0.06,-0.36,9.21,4.11,10,4.36
1952,12,-5.85,-3.19,-4.89,-0.74,-3.49,-4.16,-3.46,-6.91,-10.39,-11.18,-4.3,-1.44,0.61,-1.44,5.97,4.13,13.17,4.3,1.91,5.16,8.89,-5.33,-5.38,4.5,0.81,6.57,0.14
1953,1,-14.37,-9.92,-12.82,-6.2,-9.86,-7.4,-8.51,-12.73,-13.43,-11.84,-2.56,-2.76,-3.06,-6.13,4.19,1.49,12.53,1.45,-1.01,3.01,5.69,-5.44,-6.21,4.47,-0.27,6.23,-0.91
1953,2,-12.4,-7.77,-10.09,-2.55,-4.87,-0.59,-1.57,-8.4,-8.33,-5.81,3.04,3.49,2.54,-0.06,7.24,5.64,13.11,6.57,4.46,8.54,10.34,-1.85,-2.48,8.14,3.62,9.19,2.84
1953,3,-2.17,0.64,-0.29,3.65,2.14,3.26,3.41,-0.79,-3.28,-3.4,3.34,4.79,5.81,4.35,10.68,8.49,15.54,9.42,6.96,10.09,12.13,0.71,0.89,10.99,6.28,11.05,5.16
1953,4,5.16,7.13,5.26,8.42,6.06,8.37,7.14,3.42,3.58,5.18,8.17,9.96,10.57,8.4,15.5,13.94,19.13,13.93,11.7,14.25,16.82,4.31,7.84,11.7,8.84,11.9,10.94
1953,5,10.78,12.68,11.82,13.33,12.29,16.95,14.42,11.83,13.21,17.18,18.86,18.5,14.75,13.42,20.08,17.43,23.46,19.77,17.87,22.05,23.2,12.2,12.85,17.62,13.69,14.37,12.77
1953,6,15.25,16.99,17.16,18.78,18.99,23.05,21.33,18.93,20.56,21.79,22.02,22.73,21.07,19.99,24.03,22.56,27.02,24.15,22.45,24.77,26.94,14.33,15.6,21.03,17.06,17.9,15.04
1953,7,18.26,21.04,21.58,23.66,23.76,26.72,24.72,22.38,23.32,24.94,26.1,26.83,26.09,24.59,27.79,28.05,29.44,27.93,26.34,28.47,30.12,18.88,20.24,25.86,22.68,23.34,19.19
1953,8,17.33,19.41,19.15,22.55,20.94,23.73,22.31,18.44,18.89,21.12,24.82,25.96,23.86,22.35,27.99,26.67,30.37,27.85,26.13,29.05,30.29,18.51,19.39,25.31,21.45,24.18,21.55
1953,9,11.88,14.72,12.86,17.1,14.37,17.17,15.89,12.09,11.85,13.24,19.52,19.99,18.18,16.61,22.32,20.93,27.79,22.29,20.67,24.83,27.89,16.15,15.33,25.7,20.99,23.96,18.04
1953,10,6.93,9.6,8.28,11.77,9.33,10.71,10.41,6.81,5.67,4.5,9.45,12.36,13.17,11.41,17.27,15.92,23.43,16.4,14.67,17.42,20.25,7.13,4.57,17.12,11.6,15.94,7.05
1953,11,2.74,6.57,5.54,9.97,7.66,7.15,8.35,3.72,2.04,1.06,4.84,7.9,11.74,10.08,15.57,14.12,20.7,14.05,12.54,12.48,14.09,-0.33,-0.85,8.71,3.8,8.76,2.47
1953,12,-6.05,-1.38,-3.47,1.97,-1.05,-3.86,-1.49,-6.3,-9.32,-10.72,-5.04,-2.67,3.64,1.66,7.77,6.63,14.25,6.1,4.06,3.75,6.27,-2.33,-4.06,8.22,2.9,8.38,0.33
1954,1,-8.95,-4.22,-6.65,-0.56,-3.5,-5.04,-3.98,-8.03,-11.25,-11.02,-1.76,-2.44,1.52,-0.72,6.78,4.84,12.99,5.23,2.58,6.39,9.53,-3.08,-4.62,6.47,1.85,7,0.58
1954,2,-7.98,-2.7,-4.35,0.29,-1.9,-2.03,-1.58,-6.77,-8.42,-10.35,-0.33,-0.06,2.65,0.71,8.29,6.05,13.66,6.56,3.9,8.18,12.32,-0.5,-0.72,9.63,5.28,9.25,3.75
1954,3,-2.17,2.78,0.51,6.52,4.15,2.46,3.88,-2.92,-2.98,-6.24,0.69,4.93,9.92,8.11,14.66,12.59,18.99,12.55,10.54,10.68,13.39,1.13,0.13,10.67,6.31,9.6,4.55
1954,4,3.09,6.51,4.66,8.56,6.43,10.22,8.46,4.43,5.46,6.51,10.66,12.16,10.53,8.85,15.56,13.36,20.92,14.42,12.31,15.59,18.29,5.98,6.33,15.13,10.09,13.51,9.01
1954,5,11.03,12.99,13.51,13.63,14.67,18.6,17.91,13.85,13.77,15.41,19.81,19.86,16.11,15.64,19.78,17.8,23.95,20.52,19.06,22.53,24.7,12.18,12.69,18.26,14.31,14.31,11.7
1954,6,15.98,18.75,17.64,20.24,20,23.21,21.57,17.65,18.06,18.99,24.39,23.68,21.92,20.89,25.29,24.16,28.94,24.39,23.01,25.93,28.1,17.67,14.68,23.32,20.07,19.85,13.79
1954,7,17.54,20.32,19.03,23.56,20.76,21.66,20.16,16.94,16.39,18.6,24.39,23.75,23.54,21.77,26.08,25.48,29.85,24.81,23.09,27.22,29.61,19.7,20.47,27.11,23.75,23.26,20.07
1954,8,18.76,21.12,20.36,23.14,21.15,21.5,20.23,19.59,19.84,21.22,23.54,22.55,23.35,21.7,26.09,25.02,29.85,24.87,22.84,26.86,27.8,18.28,19.35,25.28,22.16,23.36,18.21
1954,9,14.26,17.1,16.19,19.55,17.06,17.08,16.89,14.88,14.63,17.01,18.72,17.98,19.16,18.09,22.19,20.8,28.04,20.93,19.2,22.12,24.49,13.43,13.31,21.74,17.06,19.25,13.61
1954,10,7.49,10.1,9.52,12.31,10.22,14.1,11.96,10.11,10.46,12.23,15.17,15.65,13.38,11.88,18.31,15.84,24.55,17.11,15.48,18.41,20.26,10.45,8.69,16.8,11.77,13.32,7.09
1954,11,-0.2,3.28,1.66,5.58,3.02,3.83,4.02,0.04,-1.46,-2.79,2.41,5.09,6.53,4.98,10.98,9.42,18.37,9.14,7.35,9.26,11.15,0.68,0.33,9.97,5,9.66,4.4
1954,12,-9.92,-6.05,-9.23,-3.63,-6.41,-5.96,-5.43,-11.27,-13.23,-13.05,-3.71,-2.35,-0.89,-2.88,4.97,2.71,12.03,3.47,1.35,3.73,6.25,-5.14,-5.58,5.44,-0.23,6.25,0.78
1955,1,-3.61,0.79,-0.84,2.73,1.49,2.14,2.32,-0.36,-3.39,-7.81,-0.41,3.83,4.39,3.08,8.09,6.95,13.9,6.82,5.36,7.45,9.17,-4.33,-5.18,5.01,0.16,5.72,0.44
1955,2,-7.84,-2.99,-6.54,-0.66,-3.88,-1.27,-2.44,-6.7,-7.48,-8.64,-0.7,0.2,0.66,-1.14,6.36,3.74,12.89,4.23,1.71,5.49,9.25,-1.4,-3.1,7.45,2.75,7.54,2.75
1955,3,-1.47,3.64,0.91,6.33,4.07,6.88,5.9,0.9,1.64,3.05,7.57,8.87,8.5,6.77,12.29,10.7,16.09,11.55,9.55,12.84,14.4,2.66,2.83,12.26,6.84,10.63,5.59
1955,4,2.54,6.55,4.43,9.06,6.46,9.36,7.73,4.15,5.04,6.56,9.52,11.24,10.44,8.72,15.26,13.03,19.44,13.82,11.64,14.7,17.13,4.1,5.55,12.56,8.07,11.54,7.32
1955,5,13.6,17.05,16.66,19.12,18.4,21.99,20.6,16.71,16.8,16.39,17.76,21.92,21.29,20.07,22.91,21.44,25.87,22.92,21.79,23.15,24.56,9.31,9.09,16.03,11.95,13.58,8.61
1955,6,15.76,18.86,16.3,21.35,18.29,21.96,20.08,16.08,16.75,18.06,21.47,21.82,23.01,21.17,24.42,24.07,28.14,24.26,22.68,25.36,27.93,16.22,15.04,23.14,19.29,20.24,15.48
1955,7,20,22.96,21.01,23.99,21.55,24.37,22.11,21.7,22.95,23.54,25.27,24.58,24.13,22.24,27.21,26.51,30.02,26.41,24.79,28.41,29.58,19.74,20.53,26.05,23.23,22.43,18.53
1955,8,17.2,20.31,18.29,22.14,19.27,21.18,19.55,17.95,17.92,19.24,23.34,22.93,21.9,20,24.71,23.83,29.28,24.07,22.36,26.71,28.79,19.13,20.16,26.35,23,23.06,21.66
1955,9,12.07,15.69,14.2,18.42,16.12,18.78,17.13,14.67,14.69,16.96,20.75,21.52,19.7,17.75,22.02,21.49,27.76,21.17,19.95,24.13,26.63,15.8,15.6,23.68,18.76,19.95,14.93
1955,10,7,9.95,8.48,11.42,8.87,10.95,9.74,7.07,6.52,8.08,12.46,13.11,11.4,9.96,15.23,13.86,21.75,14.52,12.54,18.09,22.2,8.5,7.45,17.59,12.06,15.47,8.13
1955,11,2.34,5.5,4.39,7.33,5.47,6.8,6.43,3.57,2.29,0.56,6.08,8.65,8.2,6.97,12.63,10.76,18.6,11.29,9.32,12.51,14.81,0.86,-0.13,9.8,4.94,8.81,2.48
1955,12,-2.46,1.7,0.12,3.93,1.99,1.16,2,-1.71,-4.62,-7.1,-1.02,2.86,4.49,3.49,8.13,6.43,14.75,7.07,5.03,7.17,8.96,-5.02,-5.08,4.72,0.28,5.41,0.4
1956,1,-10.91,-5.29,-8.31,-1.87,-5.1,-4.75,-4.67,-10.41,-11.95,-13.39,-5.71,-2.43,0.25,-1.75,6.63,4.36,13.53,3.72,1.13,3.65,5.69,-5.72,-8.22,5.33,-0.09,5.93,-1.5
1956,2,-10.02,-5.86,-8.19,-2.34,-5.98,-5.02,-5.07,-9.19,-10.35,-9.47,-4.51,-3.19,-0.78,-3.1,4.89,3.21,10.89,2.97,0.69,3.64,7.43,-3.48,-3.29,8.26,3.38,9.89,3.35
