YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-13.1,-7.31,-10.31,-5.07,-7.4,-6.36,-6.62,-10.26,-11.71,-11.35,-3.68,-3.67,-2.23,-4.59,4.91,2.36,12.72,1.14,-1.89,2.09,5.85,-4.46,-5.04,6.12,0.95,7.07,0.92
1950,2,-2.58,1.67,0.08,5.5,2.69,-0.74,1.1,-4.83,-7.34,-8.4,-1.28,0.63,6.51,4.92,8.81,8.26,13.89,6.91,4.89,6.41,9.46,-2.88,-2.14,7.54,3.09,8.71,4.51
1950,3,-2.15,1.28,-1.43,3.78,1.36,4.07,3.39,-1.96,-2.06,-0.66,4.36,6.89,7.38,5.09,13.12,10.89,18.31,11.42,9.03,11.76,13.83,-0.92,0.36,9.07,4.73,9.22,4.69
1950,4,1.64,5.09,2.55,7.33,4.76,6.92,6.14,2.23,1.18,1.33,5.9,8.72,9.9,7.71,15.47,13.46,20.42,13.74,11.27,13.98,17.63,2.05,3.49,13.2,8.6,11.88,7.81
1950,5,8.18,11.74,10.75,14.18,12.61,15.92,14.86,10.9,11.65,12.28,15.35,17.4,17.08,15.07,22.4,20.25,25.64,20.75,18.99,22.27,24.63,9.16,9.68,16.4,12.86,14.26,12.23
1950,6,14.75,16.78,16.25,19.46,17.58,20.65,19.36,15.59,16.07,17.84,20.66,21.82,21.3,19.47,26.23,24.37,29.44,24.89,23,24.91,26.75,14.92,15.97,23.46,19.38,20.08,16.84
1950,7,18.53,21.02,20.26,23.91,21.69,24.35,23.4,19.94,20.28,22.28,25.59,26.17,24.95,23.43,28.3,27.05,30.76,27.66,25.94,29.25,30.4,20.46,20.56,28.25,24.24,23.84,18.49
1950,8,17.62,20.76,19.71,23.93,21.01,23.86,22.64,19.09,19.48,21.48,25.14,24.77,24.32,22.71,28.31,26.58,31.38,27.37,25.45,27.29,28.65,19.44,18.91,26.84,22.58,22.66,17.51
1950,9,12.33,15.94,14.81,18.71,16.59,19.8,18.41,14.8,14.64,14.8,19.67,21.48,19.78,18.47,23.78,21.89,28.23,23.03,21.36,24.25,26.06,14.34,13.56,22.63,18.31,20.07,14.74
1950,10,3.93,7.82,7.37,10.95,9.84,14.48,13.08,9.04,9.19,8.12,10.98,15.12,13.14,11.99,17.73,15.72,23.79,17.02,15.17,18.07,20.52,7.16,6.94,14.3,9.92,12.9,8.82
1950,11,3.12,6.38,4.67,8.59,6.03,5.09,5.52,1.69,-0.51,-0.92,6.41,7.1,8.66,7.48,12.56,11.02,18.22,11.31,8.97,12.87,16.37,4.13,2.46,13.9,8.65,12.86,4.92
