YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-11.99,-6.7,-9.11,-2.85,-5.61,-6.68,-5.08,-10.16,-13.84,-14.2,-7.84,-4.07,0.36,-1.88,6.22,4.31,14.99,3.86,1.12,3.12,5.88,-8.98,-7.6,4.61,-1.31,5.77,-1.37
1950,2,-10.14,-5.11,-9.32,-2.42,-6.9,-9.51,-7.61,-12.44,-16.98,-18.25,-10.85,-6.77,0.19,-2.97,7.1,4.98,16.49,2.94,-0.45,2.59,6.61,-10.56,-11.51,4.6,-0.59,6.95,-3.12
1950,3,-3.02,1.63,-1.03,4.65,1.73,3.67,2.84,-3.14,-3.54,-2.62,1.7,5.97,7.88,5.76,13.99,11.28,20.37,12.13,9.17,12.56,14.29,-2.99,-1.46,8.18,3.81,9.07,4.38
1950,4,2.72,5.95,3.07,7.56,4.58,7.22,5.91,2.42,3.08,4.89,7.63,9.5,9.6,7.26,17.22,14.22,22.69,15.12,12.02,15.68,17.77,1.5,4.4,11.37,7.42,11.55,9.47
1950,5,11.3,15.81,14.44,21.34,18.97,21.54,20.62,13.1,13.93,14.08,18.45,22.91,24.02,21.85,26.91,26.15,29.8,26.14,24.13,26.32,27.18,9.24,10.07,17.89,14.62,18.2,13.71
1950,6,18.85,22.32,22.14,27.19,25.28,29.85,28.26,21.36,21.09,21.12,27.71,31.35,31,28.43,34.97,33.86,34.58,34.64,33.06,34.77,33.87,16.38,14.84,22.05,18.91,19.12,14.25
1950,7,22.07,25.28,24.76,29.96,27.19,31.25,29.46,24.48,24.43,26.37,33.39,32.75,31.73,29.5,35.69,35,35.63,34.4,33.21,35.66,34.73,23.43,22.84,28.35,25.3,25.23,20.69
1950,8,18.28,21.77,20.39,25.91,22.74,28.06,25.74,20.78,21.49,25.47,31.25,30.28,27.49,25.21,33.98,31.36,34.8,32.42,30.4,33.73,33.93,22.48,23.42,29.65,24.94,24.53,21.17
1950,9,13.36,17,15.76,21.62,17.96,18.61,17.86,13.87,12.98,15.52,20.78,20.92,21.9,19.84,26.71,25.03,32.79,24.4,21.41,27.02,30.06,14.33,14.52,23.37,18.18,20.39,17.23
1950,10,3.29,7.32,5.51,9.9,7.12,10.04,8.82,5.08,4.59,5.58,10.06,12.33,10.41,8.87,15.55,13.46,25.06,14.41,11.64,17.23,19.71,4.16,6.3,16.64,10.83,17.56,12.85
1950,11,-1.8,2.57,0.16,4.97,1.92,3.48,3.05,-1.6,-3.62,-3.84,2,5.41,5.85,4.13,9.98,8.7,19.8,8.49,6.65,9.56,11.33,-2.29,-1.86,9.25,3.18,10.7,3.61
1950,12,-11.25,-6.02,-8.46,-1.96,-4.98,-4.08,-3.41,-10.17,-13.98,-16.22,-4.65,-0.46,1.57,-1.09,11,6.87,19.09,8.29,4.61,8.09,11.47,-5.72,-9.49,5.88,-0.13,5.45,-4.54
1951,1,-12.05,-6.73,-8.97,-3.59,-6.65,-8.53,-6.95,-12.17,-16,-16.45,-7.93,-5.42,-1.27,-3.83,7.85,4.28,18.44,2.89,-0.47,1.32,3.63,-10.3,-11.6,4.28,-3.35,5.26,-4.32
1951,2,-10.69,-5.72,-8.8,-2.98,-6.47,-6.38,-6.16,-11.52,-14.1,-14.69,-5.51,-2.7,-0.79,-3.14,6.37,3.42,16.36,3.69,0.45,4.58,6.97,-7.09,-7.38,7.33,0.72,8.61,0.59
1951,3,-7.73,-3.07,-5.83,0.72,-2.32,1.49,0.69,-8.19,-9.41,-6.75,3.88,5.99,5.41,2.71,15.23,10.66,21.28,13.99,10.29,15.69,18.63,0.7,0.09,12.68,7.16,11.44,5.13
1951,4,2.05,5.63,4.09,9.22,6.77,11.28,9.35,2.91,3.24,5.49,9.64,14.23,12.64,10.25,20.87,17.4,26.27,19.39,16.53,19.66,21.09,4.26,4.67,14.5,9.06,11.87,6.36
1951,5,8.51,12.44,10.87,16.15,13.86,18.95,17.4,11.32,12.43,11.87,17.45,21.16,19.56,17.08,28.99,24.61,32.33,27.32,24.11,28.26,29.88,10.44,9.24,16.97,13.85,15.79,11.38
1951,6,13.84,17.24,15.22,21.23,18.1,22.77,20.81,15.7,16.97,19.64,24.94,25.2,23.81,21.15,30.83,27.63,34.66,29.69,26.14,32.02,34.67,16.8,17.62,23.53,20.91,20.59,18.47
1951,7,20.81,23.4,22.95,27.85,25.02,29.29,27.59,23.2,23.25,24.24,29.77,30.69,29.83,27.45,34.98,33.53,36.01,33.05,31.45,34.45,34.41,20.2,19.68,24.83,22.87,22.89,20.69
1951,8,17.03,21.54,20.16,26.15,22.88,25.99,24.88,20.11,20.7,22.72,26.76,27.16,27.02,25.04,34.05,31.33,35.74,31.77,29.04,32.23,33.23,19.15,20.55,26.52,22.84,23.77,20.44
