YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-20.6,-15.89,-18.92,-11.41,-14.38,-11.86,-12.57,-19.59,-21.33,-19.59,-6.56,-6.11,-7.7,-9.76,1.1,-3.2,13.41,-0.89,-4.85,1.77,5.31,-10.47,-11.35,0.99,-4.81,2.53,-3.65
1950,2,-13.96,-10.28,-13.17,-8.22,-11.24,-8.76,-8.96,-12.37,-14.96,-14.84,-4.4,-5.27,-6,-8.06,3.06,-0.89,11.59,1.1,-2.98,4.81,9.87,-4.62,-4.96,5.87,1.27,8.27,2.66
1950,3,-5.46,1.1,-2.6,3.92,1.65,1.08,2.05,-5.75,-7.26,-8.06,-1.31,3.14,8.27,5.62,16.35,13.14,21.71,12.92,9.18,10.57,13.93,-1.78,-2.96,11.19,5.36,9.92,2.59
1950,4,5.28,9.71,8.08,11.55,10.39,12.43,11.84,6.21,5.89,5.48,10.34,14.32,14.94,12.93,21.27,18.09,26.59,20.23,17.2,20.75,22.6,2.97,3.76,10.64,6.85,10.78,5.86
1950,5,9.85,14.47,12.89,17.39,15,18.27,16.93,10.96,11.32,12.77,17.83,21,19.88,17.57,26.39,24.02,31.33,24.54,22.31,25.63,27.55,10.96,9.93,17.3,14.41,16.47,10.37
1950,6,18.86,23.15,20.58,25.87,21.47,25.33,23.87,19.17,20,21.54,23.71,25.9,26.21,23.88,31.65,29.72,35.16,30.42,27.6,30.35,31.88,16.55,18.92,22.92,20.04,21.57,19.05
1950,7,20.86,25.8,23.78,29.82,26.17,30.68,29.42,23.05,23.22,22.12,27.72,31.97,32.6,29.87,37.45,36.11,37.82,36.28,35.19,34.7,34.56,19.86,19.14,25.5,22.08,23.16,20.05
1950,8,18.15,24.33,22.35,30.13,26.32,29.42,29.17,21.21,21.79,22.76,26.01,30.4,32.81,30.59,36.94,35.4,37.27,36.09,34.93,33.99,33.57,19.79,19.99,26.41,21.7,22.3,17.87
1950,9,16.47,21.2,20.86,25.66,23.31,24.49,25.36,19.06,17.2,14.25,19.1,25.34,27.38,25.58,32.73,30.5,35.84,32.32,30.7,30.31,30.84,11.93,9.64,20.26,15.05,17.86,12.28
1950,10,5.77,10.25,9.04,14.46,11.52,14.09,12.82,9.27,8.59,8.41,12.46,15.4,15.28,13.43,20.28,18.22,28.31,18.66,16.18,19.59,22.33,8.44,7.94,17.58,11.99,16.64,9.4
