YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-12.88,-7.59,-10.88,-3.99,-7.24,-7.54,-6.52,-12.76,-15.79,-15.68,-6.82,-4.11,-0.48,-3.21,7.58,4.21,15.83,4.08,0.63,3.44,5.8,-9.01,-9.77,3.15,-2.09,5.2,-2.07
1950,2,-10.3,-5.17,-7.66,-1.83,-4.97,-3.77,-4.01,-9.38,-10.7,-10.58,-2.55,-0.6,0.66,-1.68,8.71,5.03,16.03,6.24,2.6,6.61,9.46,-4.6,-5.41,7.05,1.93,7.81,0.19
1950,3,-7.1,-1.71,-4.89,1.75,-0.99,2.8,2.17,-4.24,-4.6,-3.81,2.36,5.32,5.97,3.56,13.53,9.88,19.99,11.44,7.94,11.49,12.97,-2.26,-2.15,9.19,3.93,9,2.27
1950,4,0.68,4.58,2.88,7.46,5.33,9.13,7.49,3.19,4.48,5.84,9.47,11.61,10.83,8.54,18.25,15.09,23.65,16.63,13.34,17.93,20.04,5.44,5.96,15.25,10.72,14.11,7.51
1950,5,12.29,15.45,14.9,18.02,16.32,18.85,17.81,13.66,13.6,13.24,15.64,19.61,20.07,18.26,26.58,23.39,30.05,25.25,22.34,23.8,22.71,8.81,10.34,14.12,11.4,13.79,10.06
1950,6,18.93,22.96,23.05,27.15,25.33,27.43,26.71,20.8,19.76,19.66,24.82,27.92,28.91,27.18,33.95,31.36,34.28,33.45,31.38,32.21,31.98,18.14,17.51,24.2,21.9,22.5,16.34
1950,7,23.18,27.98,26.97,32.45,30.41,32.72,32.67,25.89,25.12,23.22,28.35,32,34.81,33.04,37.09,36.79,36.56,36.58,35.13,33.88,32.61,20.27,20.17,24.91,23.79,24.9,21.94
1950,8,20.91,25.19,25.06,30.1,27.87,29.29,29.48,25.38,23.16,22.05,27.09,29.48,32.2,30.09,37.11,35.15,38.26,35.16,33.04,32.95,31.77,21.48,21.9,26.35,24.16,25.18,22.91
1950,9,16.05,20.69,18.41,24.2,20.28,21.8,21.51,15.78,14.15,14.1,19.83,22.81,25.1,22.82,30.99,28.36,35.33,29.05,26,28.1,28.65,14.17,13.82,22.3,18.6,21.71,15.97
1950,10,6.49,11.26,9.47,14.62,11.76,13.78,13.48,8.38,6.8,5.33,9.54,14.58,16.57,14.49,22.67,20.1,29.52,19.89,17.1,19.4,20.98,5.51,4.9,15.65,11.25,15.32,7.82
