YYYY,MM,DD,YYYYMM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
2005,1,1,200501,275.15,276.88,275.87,280.77,279.34,279.81,281.14,271.64,266.77,262.46,278.32,285.47,284.41,283.13,288.35,286.65,292.71,288.2,287.6,289.52,289.46,274.49,265.87,280.39,275.74,276.93,272.32
2005,1,2,200501,265.41,272.42,271.24,277,276.08,283.31,283.58,273.96,270.95,263.84,277.23,287.05,283.42,282.37,288.56,287.66,292.46,289,287.34,290.38,290.49,272.32,265.16,279.54,275.35,276.49,270.9
2005,1,3,200501,272.81,277.6,276.46,281.05,280.18,281.36,284.59,271.75,264.02,259.74,274.26,284.49,285.26,284.34,289.75,288.35,292.36,289.79,288.5,290.89,291.47,272.48,265.87,280.08,275.61,277.5,269.34
2005,1,4,200501,271.93,278.35,275.62,283.39,281.81,277.84,281.8,270.64,264.74,260.07,269.76,279.29,287.94,286.66,290.32,289.24,292.2,289.83,289.23,289.28,291.83,272.01,264.54,278.72,275.96,276.53,268.37
2005,1,5,200501,267.78,274.13,271.55,279.68,276.92,276.1,278.47,268.34,263.65,255.78,263.12,276.87,287.81,284.74,289.92,289.51,293.19,289.96,288.83,285.42,289.05,265.14,261.46,275.49,273.07,275.86,266.86
2005,1,6,200501,263.39,271.28,269.08,278.26,274.22,270.91,275.01,267.77,263.75,255.63,260.92,268.48,285.77,283.36,290.02,289.05,293.96,287.4,285.31,276.05,279.76,264.49,262.38,274.45,270.82,276.56,268.18
2005,1,7,200501,268.85,273.45,270.92,278.33,273.23,268.04,270.79,267.4,260.31,257.94,264.22,268.93,281.93,277.75,289.45,288.17,294.54,283.1,277.64,276.66,280.74,265.26,264.31,274.35,270.28,276.8,271.49
2005,1,8,200501,267.3,271.17,270.35,276.96,273.66,271.97,274.26,268.27,262.2,259.13,264.91,271.04,282.52,279.46,291.07,289.21,294.39,286.27,282.84,277.67,282.42,268.44,265.91,278.02,274.29,277.37,271.56
2005,1,9,200501,267.59,271.1,269.1,275.19,271.85,271.66,272.76,269.48,263.62,260.49,270.88,274.12,278.52,276.36,288.47,285.54,293.85,282.53,279.81,280.51,285.96,273.93,266.46,280.81,276.61,278.94,270.98
2005,1,10,200501,268.67,271.81,271.18,275.7,273.85,272.13,274.65,270.06,263.39,259.62,268.9,274.95,279.71,278.28,287.31,284.82,293.05,285.02,282.07,286.03,290.35,275.76,267.55,283.34,278.41,280.01,270.29
