YYYY,MM,DD,YYYYMM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
2005,1,1,200501,7.57,8.82,8.08,11.86,10.75,11.22,12.42,4.71,1.33,-1.37,9.71,15.92,14.77,13.94,18.19,16.55,22.65,18.41,17.72,19.74,19.07,6.18,1.01,10.8,7.4,8.7,5.5
2005,1,2,200501,0.54,5.14,4.55,8.79,8.23,14.38,14.57,6.69,4.57,-0.3,9.14,17.48,14.08,13.38,18.52,17.54,22.5,19.26,17.78,20.72,20.2,5.01,0.52,10,7.14,8.31,4.44
2005,1,3,200501,5.94,9.55,8.73,12.38,11.76,12.93,15.63,5.17,-0.3,-3,6.8,15.6,15.87,15.25,19.64,18.38,22.43,19.89,18.89,21.32,21.38,5.3,1.01,11.09,7.8,9.25,3.32
2005,1,4,200501,5.31,10.17,8.08,14.41,13.09,9.79,13.06,4.26,0.14,-2.77,3.61,11.16,18.1,17.24,20.05,19.17,22.23,19.93,19.69,19.84,21.78,5.17,0.19,10.13,8.17,8.52,2.63
2005,1,5,200501,2.22,6.78,4.93,11.23,9.1,8.58,10.48,2.61,-0.51,-5.4,-0.84,9.38,18.04,15.58,19.66,19.42,23.18,20.1,19.1,16.62,19.04,0.47,-1.79,7.5,5.69,7.96,1.56
2005,1,6,200501,-0.66,4.7,3.22,10.11,7.02,4.48,7.6,2.25,-0.41,-5.51,-2.28,2.68,16.35,14.26,20.06,19.27,24.09,17.79,15.74,8.33,10.54,0.02,-1.27,6.59,4.02,8.43,2.59
2005,1,7,200501,3.04,6.27,4.46,9.81,5.97,2.4,4.29,2.03,-2.63,-4.11,-0.12,2.88,12.49,9.28,19.53,18.22,24.75,14.08,9.52,8.91,11.33,0.4,-0.08,6.51,3.64,8.62,4.95
2005,1,8,200501,1.91,4.56,4.09,8.87,6.5,5.28,6.97,2.68,-1.4,-3.38,0.37,4.59,13.27,10.84,21.15,19.39,24.49,16.93,13.75,9.72,12.48,2.52,1,9.26,6.38,9.33,4.86
2005,1,9,200501,2.19,4.65,3.26,7.48,5.16,5.07,5.85,3.54,-0.45,-2.48,4.4,6.74,9.85,8.31,18.3,15.65,23.75,13.29,10.97,11.69,15.44,6.12,1.45,11.31,7.98,10.65,4.46
2005,1,10,200501,2.96,5.22,4.75,8.03,6.63,5.45,7.24,3.91,-0.65,-3.06,3.13,7.51,10.85,9.77,16.88,14.99,22.9,15.49,12.88,16.45,19.41,7.49,2.22,12.98,9.39,11.54,4.07
2005,1,11,200501,1.3,4.39,3.41,7.84,6.28,8.85,9.65,3.6,1.14,-1.92,3.02,11.73,12.22,11.05,17.85,15.23,22.43,19.07,17.34,19.38,19.31,6.47,2.57,12.7,8.8,10.33,3.38
2005,1,12,200501,-0.33,5.52,4.99,10.73,10.11,13.15,14.91,6.19,4.64,1.15,4.89,15.16,15.67,15.49,19.77,17.96,23.58,20.72,19.78,20.27,19.16,4.87,1.01,8.92,6.06,7.94,3.75
2005,1,13,200501,5.25,8.2,9.37,13.07,13.63,11.76,17.02,8.04,1.78,-3.41,2.83,10.96,18.04,16.64,21.93,20.77,25.08,20.57,19.31,15.96,13.63,1.23,-1.83,7.27,3.83,8.06,4.01
2005,1,14,200501,9.82,12.52,9.03,15.2,10.5,0.47,4.72,-0.53,-6.88,-9.23,-2.91,1.05,15.6,12.46,18.9,19.68,24.3,11.02,9.28,7.93,9.26,1.01,-3.02,8.49,4.67,9.34,2.87
2005,1,15,200501,1.44,4.62,1.88,5.69,2.51,-1.56,1.13,-2.61,-7.32,-9.24,-3.76,-0.28,6.39,4.89,11.2,9.05,18.81,7.66,6.49,6.54,9.84,0.58,-3.18,9.22,6,10.12,2.7
2005,1,16,200501,1.2,3.62,1.65,5.5,2.76,-1.39,1.5,-2.35,-6.87,-9.02,-3.2,-0.63,6.01,4.81,10.72,8.77,17.49,7.49,5.74,5.45,8.61,1.89,-0.3,9.94,6.74,11.04,5.29
2005,1,17,200501,0.07,3,0.72,4.37,1.11,-3.89,-1.84,-2.34,-7.05,-8.22,-1.12,-2.06,3.04,1.31,6.41,5.43,12.44,3.32,1.46,3.92,7.74,4.16,2.94,10.75,7.15,11.69,6.65
2005,1,18,200501,-4.39,-2.18,-4.13,0.24,-1.95,-3.32,-2.35,-2.95,-5.85,-2.31,1.8,0.4,-0.31,-1.31,4.94,2.26,11.56,2.99,1.14,5.08,9.51,4.69,5.53,11.17,7.12,12.44,10.04
2005,1,19,200501,-5,-1.91,-2.71,-0.01,-0.99,3.28,1.72,1.28,0.13,1.59,7.14,5.43,0.65,0.7,5.1,2.5,13.52,5.69,4.32,8.67,13.2,6.77,7.14,12.03,8.11,12.97,10.73
2005,1,20,200501,0.43,2.85,0.39,3.78,2.21,3.78,3.47,-0.74,-0.44,1.59,8.79,6.66,4.24,3.91,9.01,6.36,14.89,9.66,6.59,13.46,16.06,7.72,7.75,12.45,9,13.14,10.6
2005,1,21,200501,-5.91,-2.81,-5.15,0.71,-1.66,4.36,2.26,-1.93,0.34,1.77,8.7,7.29,4.98,2.91,12.84,8.95,17.93,13.18,9.76,15.46,16.87,8.23,7.16,13.21,9.46,13.05,10.3
2005,1,22,200501,-6.89,-3.69,-5.4,-0.24,-3.02,3.51,1.86,-0.75,0.75,-2.63,4.72,4.96,2.93,2.21,16.38,8.55,20.57,14.11,10.43,13.64,16.59,5.76,4.3,12.83,8.76,12.46,9.4
2005,1,23,200501,-4.28,0.77,-3.36,2.69,-1.85,0.39,-1.28,-3.36,-3.68,-1.82,1.68,0.71,1.06,-0.18,7.3,5.72,15.76,3.86,1.94,4.36,8.08,5.81,6.31,13.18,7.8,12.74,9.94
2005,1,24,200501,-5.67,-3.67,-4.9,-2.82,-4.33,2.7,-0.95,-0.02,-0.15,2.87,7.3,4.44,-0.26,-1.37,4.17,2.76,9.16,4.15,3.06,6.44,9.61,7.58,6.94,13.01,8.43,12.94,9.62
2005,1,25,200501,-2.17,0.27,0.17,2.12,1.65,4.73,3.41,2.77,1.98,4.7,10.09,7.7,4.53,3.65,7.22,6.32,12.13,7.76,6.62,11.22,14.66,7.04,6.36,12.7,9.2,13.59,9.29
2005,1,26,200501,-3.55,1.26,0.53,5.54,4.51,6.01,5.43,2.25,2.32,1.95,8.71,9.07,6.94,6.6,13.29,9.48,16.88,14.03,11.15,15.04,16.54,6.19,5.74,12.85,9.33,12.95,9.81
2005,1,27,200501,-5.67,-1.06,-4.86,1.3,-1.89,3.07,0.89,-3.53,-2.85,-0.34,5.67,5.77,5.05,2.76,14.26,10.03,20.18,10.51,7.71,11.27,15.02,6.79,5.69,11.78,9.04,11.07,9.53
2005,1,28,200501,-6.13,-4.51,-6.05,-2.79,-4.01,1.45,-0.46,-2.54,-2.17,2.3,5.93,4.91,1.48,0.4,8.09,4.13,18.85,8.42,6.07,9.57,12.79,6.04,5.99,10.59,7.6,10.67,8.56
2005,1,29,200501,-3.21,-1.81,-1.78,-0.28,-0.58,4.83,3.24,0.69,2.04,3.13,6.74,6.42,2.49,2.53,7.97,4.96,19.33,9.1,6.25,10.77,13.49,5.58,5.57,10.36,7.24,9.33,8.3
2005,1,30,200501,0.5,2.52,1.96,4.15,3.82,5.24,5.27,3.25,2.06,2.69,6.33,6.57,5.94,5.95,10.18,9.31,20.25,9.82,7.37,10.05,14.08,4.8,4.94,8.94,5.95,8.82,7.62
2005,1,31,200501,-0.99,1.93,0.16,3.55,1.83,4.7,3.38,2.48,3.36,3.66,6.91,6.32,4.87,4.44,9.5,7.79,16.89,9.48,7.8,10.57,12.61,4.15,4.23,9.13,5.26,9.54,8.6
2005,2,1,200502,-0.09,1.27,0.25,3.01,2.28,5.59,4.36,3.71,4.74,3.71,6.59,6.62,5.54,5.22,10.68,7.87,17.19,10.95,9.55,10.31,10.65,2.8,4.06,9.12,5.23,9.87,7.52
2005,2,2,200502,0.7,1.92,0.95,3.29,2.77,5.68,3.92,4.45,5.13,4.32,6.84,7.17,5.39,5.32,10.56,7.91,19.39,11.59,10.3,10.84,9.91,2.51,3.88,8.29,4.63,9.95,8.44
2005,2,3,200502,1.51,3.17,2.09,4.06,3.71,6,5.32,4.47,4.42,5.02,7.52,7.72,6.08,6.13,12.34,9.49,20.68,11.84,9.32,10.75,10.34,3.54,5.25,8.1,4.95,10.34,9.51
2005,2,4,200502,4.48,6.28,4.15,6.42,4.79,7,4.88,4.48,4.58,5.89,8.9,9.05,6.45,5.92,10.43,8.4,17.62,9.97,8.43,11.06,11.07,4.78,5.85,9.15,5.67,10.67,9.62
2005,2,5,200502,4.32,5.41,3.86,6.08,5.12,8.62,6.44,5.02,5.58,6.17,9.56,10.4,7.38,6.75,10.37,9.18,15.35,10.45,9.61,11.29,11.9,5.33,5.34,10.75,6.84,11,7.14
2005,2,6,200502,4.47,6.3,5.24,7.27,6.63,9.89,7.58,6.35,7.26,3.8,9.59,11.22,8.37,8.17,11.6,9.84,17.81,12.06,11.1,13.58,15.19,4.87,2.2,10.76,7.15,10.56,5.64
2005,2,7,200502,4.81,6.2,6.16,7.44,7.57,11.92,9.98,6.92,4.28,-1.13,5.71,12.48,9.57,9.52,13.55,10.96,20.06,15.06,12.56,16.32,16.12,3.71,1.85,10.76,7.22,10.38,5.98
2005,2,8,200502,6.31,6.96,7.06,7.42,8.09,8.78,10.74,4.92,2.59,-1.94,3.38,8.09,11.51,10.8,15.89,13.36,20.27,17.11,15.14,13.93,15.63,3.09,1.2,10.23,6.52,10.07,5.36
2005,2,9,200502,6.77,7.84,6.67,9.37,9.08,7.19,8.67,3.29,2.25,-0.02,3.23,7.11,13.84,12.18,18.74,16.22,21.75,17.59,15.89,13.16,15.58,1.69,1.47,10.02,5.71,10.35,5.11
2005,2,10,200502,5.94,8.28,5.42,9.77,6.68,4.66,4.97,2.9,1.56,0.56,4.75,4.56,10.99,8.3,14.16,14.31,20.32,10.21,8.22,9.66,11.44,3.09,2.55,10.66,6.34,10.85,5.28
2005,2,11,200502,2.63,4.74,2.44,5.62,3.29,5.09,4.14,3.47,3.24,2.99,6.75,6.17,5.16,4.16,7.73,6.88,11.7,7.73,6.55,10.67,12.54,5.36,3.79,12.42,7.97,11.36,5.99
2005,2,12,200502,1.42,3.62,3.49,5.56,4.8,6.89,6.47,5.6,4.59,4.39,9.18,8.75,6.73,6.13,9.4,7.96,12.24,10.35,9.05,12.99,14.88,8.05,5.86,12.81,9.66,11.93,7.52
2005,2,13,200502,2.5,5.03,3.22,6.48,4.87,9.72,7.72,4.38,4.79,5.67,12.24,12.96,8.49,7.63,12.92,10.41,15.83,14.06,11.82,16.75,18.25,7.87,6.06,11.62,8.9,12.33,7.42
2005,2,14,200502,-0.09,3.31,2.42,6.45,5.69,12.44,11.57,5.93,6.11,6.34,11.23,13.65,11.17,9.81,15.72,15.23,19.75,17.69,15.55,17.18,17.18,6.95,5.3,12.91,9.6,12.7,5.13
2005,2,15,200502,6.07,8.61,7.46,12.1,9.54,11.93,11.1,6.07,4.61,4.31,10.19,14.21,14.04,12.35,18.11,16.89,22.33,16.84,14.82,16.86,17.93,6.49,2.49,13.32,9.24,12.13,3.89
2005,2,16,200502,6.79,9.6,7.81,12.16,9.77,7.62,9.33,4.01,0.9,1.85,6.37,9.2,14.26,12.16,20.06,18,23.04,17.51,14.97,15.08,17.67,4.17,0.83,13.72,9.01,12.65,4.06
2005,2,17,200502,4.74,6.75,3.78,7.44,5.08,4.92,4.77,1.75,-1.43,0.59,6.52,7.23,9.06,6.85,16.31,14.21,21.49,11.43,8.83,11.42,14.21,4.01,1.66,13.28,8.65,12.87,4.75
2005,2,18,200502,0.88,4.19,1.34,4.43,1.73,3.92,2.34,-0.38,-3.81,0,6.92,8.03,4.91,3.24,8.96,7.51,16.3,8.34,7.2,10.94,12.99,5.01,2.5,13.6,8.82,12.96,4.77
2005,2,19,200502,-1.41,0.57,-1.3,2.07,0.74,4.67,2.94,1.21,0.11,0.7,9.2,7.9,4.45,3.09,9.59,7.63,14.82,9.4,8.88,12.64,15.25,7.4,3.77,12.35,9.6,12.15,5.67
2005,2,20,200502,-1.4,2.18,1.16,4.48,3.72,8.45,5.86,2.56,3.46,2.43,11.99,12.8,6.39,5.08,13.63,10.65,19.23,13.11,11.05,17.28,19.77,7.1,4.79,11.32,9.22,11.56,6.49
2005,2,21,200502,-1.89,3.38,2.62,6.58,5.84,10.4,9.68,5.13,3.78,2.37,10.31,13.81,11.13,9.8,18.6,15.62,22.03,19,15.71,20,19.61,6.62,4.74,11.68,8.84,12,6.31
2005,2,22,200502,1.68,5.67,4.25,7.3,5.87,8.63,7.6,3.86,1.43,2.51,9.63,11.09,13.03,10.33,21.68,17.75,23.52,19.61,15.22,18.31,19.42,6.7,4.18,11.59,9.31,11.7,6.6
2005,2,23,200502,2.48,5.23,3.26,7.2,5.2,6.36,5.8,3.01,1.18,1.94,8,8.96,10.04,8.2,20.35,15.91,23.91,16.89,12.02,16.6,20.55,5.91,4.37,11.44,9.24,11.79,7.16
2005,2,24,200502,-0.55,1.74,0.04,4.63,2.99,6.32,5.23,2.77,1.53,2.62,7.41,7.81,7.81,6.34,20.11,13.57,23.8,15.44,11.67,13.37,16.78,4.61,4.88,11.05,7.95,11.4,8.08
2005,2,25,200502,-0.9,2.27,0.52,3.85,2.35,7.24,4.61,3.24,3.57,3.43,8.23,8.16,5.78,4.58,15.35,10.25,22.09,10.86,8.45,11.2,12.61,4.82,5.26,10.69,7.22,11.76,8.64
2005,2,26,200502,-0.97,1.96,1.55,4.88,3.69,7.57,6.37,2.17,2.65,2.95,9.67,9.59,6.35,5.24,13,9.57,20.25,10.9,9.47,12.55,13.07,5.32,5.71,10.92,7.48,11.61,8.78
2005,2,27,200502,-0.81,2.16,0.77,4.44,2.03,8.32,5.06,0.86,3.03,4.24,10.32,10.74,7.27,5.69,14.2,10.26,21.83,12.69,10.51,13.62,14,4.83,5.26,11.08,7.66,11.85,9.29
2005,2,28,200502,-0.47,2.38,1.81,5.23,3.99,7.96,7.46,3.65,3.72,2.06,6.43,8.41,6.71,6.68,13.83,10.75,21.77,13.54,11.8,12.54,14.3,4.4,4.91,11.26,7.99,11.75,9.73
2005,3,1,200503,2.63,4.89,3.79,5.98,4.58,3.89,4.8,3.15,1.11,0.82,4.81,4.11,5.58,5.17,10.83,8.96,17.75,8.68,6.04,9.35,13.63,4.63,6.04,11.62,8.13,11.33,9.53
2005,3,2,200503,2.02,4.15,2.77,5.44,3.09,2.68,2.86,0.93,-0.62,1.46,7.74,5.17,3.77,3.18,7.17,5.85,12.99,6.87,5.62,9.89,14.62,5.39,6.2,12.03,8.62,11.61,9.96
2005,3,3,200503,-0.76,1.22,-0.44,3.6,1.31,2.82,2.04,0.6,-0.76,2.32,10.6,7.76,3.32,2.59,9.25,6.4,12.64,9.33,7.82,12.9,16.03,5.96,6.97,12.11,8.82,11.53,9.23
2005,3,4,200503,-1.03,0.95,0.33,3.65,1.39,5.99,3.37,1.52,1.53,5.6,11.52,12.17,4.83,3.61,11.12,8.09,15.24,11.1,10.31,14.5,16.18,6.52,7.27,12.31,9.05,12.15,9.77
2005,3,5,200503,1.22,3.5,2.03,5.59,3.93,8.2,6.84,4.31,3.83,6.38,11.41,11.44,8.5,7.06,12.99,11.19,16.72,13.73,12.92,15.83,17.62,7.43,7.68,12.68,9.64,12.05,9.95
2005,3,6,200503,3.1,4.69,3.32,5.84,4.49,9.7,7.97,5.74,6.03,8.58,12.52,11.38,8.15,7.07,12.71,11.2,17.32,12.68,10.94,15.31,17.64,8.36,7.9,11.8,9.61,13.06,10.8
2005,3,7,200503,3.99,7.31,6.2,10.21,8.79,12.96,11.85,6.05,5.69,6.2,12.14,14.28,11.48,10.79,14.16,12.98,19.17,14.64,12.74,17.45,18.45,7.55,7.61,12.03,9.75,14,12.43
2005,3,8,200503,5.85,8.28,4.72,10.73,6.56,5.65,5.52,0.05,-0.79,2.62,8.25,7.61,11.05,8.82,15.57,14.28,20.93,12.99,10.49,12.57,15.25,7.15,8.36,12.97,10.6,14.77,12.69
2005,3,9,200503,-1.94,-0.68,-2.67,1.76,0.01,4.77,3.24,0.06,-1.59,3.27,9.1,7.73,4.37,2.7,9.2,7.42,14.52,8.73,7.65,12.07,14.68,7.14,9.15,13.6,10.92,15.84,13.11
2005,3,10,200503,-2.42,0.64,-0.45,2.83,1.45,4.99,3.44,1.42,1.31,6.28,10.1,7.67,5.48,3.88,10.98,8.87,15.23,9.99,8.57,11.77,15.03,8.53,9.4,14.93,11.9,16.38,12.98
2005,3,11,200503,0.53,2.9,2.13,5.95,4.19,7.32,6.27,3.76,3.82,5.86,9.81,9.23,8.01,6.53,12.1,10.65,16.64,11.46,9.67,13.53,15.96,7.96,8.68,14.84,11.39,16.24,13.01
2005,3,12,200503,3.68,6.02,4.33,7.66,5.22,6.81,5.59,2.86,-0.03,3.75,12.85,11.74,8.09,6.4,11.99,10.96,17.4,11.62,10.79,14.5,16.16,9.12,9.01,15.2,11.67,16.33,12.34
2005,3,13,200503,2.79,5.21,3.55,7.06,4.6,4.33,4.48,1.04,-1.68,2.13,8.72,8.08,9.57,6.95,16.95,14.58,20.15,15.4,13.22,15.96,18.51,6.51,5.33,14.48,10.6,14.68,9.26
2005,3,14,200503,2.64,4.17,2.97,6.34,3.72,5.06,4.09,2.43,1.71,1.79,6.87,6.47,9.36,6.44,20.07,14.58,23.33,13.97,10.42,11.48,13.21,2.77,3.47,12.79,8.05,12.52,8.52
2005,3,15,200503,4.6,4.71,3.52,5.99,4.12,5.81,5.86,3.97,2.02,2.54,7.36,7.6,7.54,5.65,16.23,10.97,24.1,11.01,7.98,11.25,12.48,1.64,3.24,8.86,6.28,11.01,9.44
2005,3,16,200503,4.37,4.3,3.64,6.22,5.21,7.43,6.06,4.29,3.1,3.52,8.16,8.72,8.02,6.59,16.47,11.63,25.37,12.53,9.02,10.54,11.31,2.32,5.15,8.3,6.14,11.81,9.7
2005,3,17,200503,3.43,4.66,3.89,6.61,5.75,8.28,7.46,4.4,3.11,3.9,9.01,9.42,7.76,7.13,12.88,9.7,23.06,11.5,9.25,10.69,10.9,4.8,6.17,10.41,7.65,12.25,8.39
2005,3,18,200503,4.06,5.64,4.76,7.96,6.63,9.39,8.88,4.28,3.12,4.03,9.49,9.79,8.22,8.39,11.42,9.75,18.73,11.51,9.4,11.97,13.66,5.27,4.53,11.95,8.81,12.42,8.08
