YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-8.67,-4.32,-6.22,-1.28,-3.34,-4.16,-2.84,-6.93,-10.06,-10.52,-5.26,-2.06,1.22,-0.47,5.46,4.12,11.37,3.89,1.95,3.17,4.53,-6.22,-4.95,3.95,-0.27,5.08,0.14
1950,2,-7.03,-2.98,-6.26,-0.85,-4.26,-6.48,-4.81,-8.81,-12.85,-14.19,-8.01,-4.42,1.07,-1.25,5.98,4.54,12.34,3.03,0.6,2.24,4.24,-7.74,-8.39,3.43,0.1,5.83,-1.32
1950,3,-1.26,2.3,0.37,4.59,2.53,3.86,3.38,-1.16,-1.57,-1.38,1.34,5.34,6.9,5.45,10.71,9.14,14.68,9.53,7.74,9.01,9.12,-2.22,-0.33,5.45,2.95,7.15,4.56
1950,4,3.1,5.23,3.22,6.48,4.49,6.28,5.48,2.49,2.64,3.33,5.55,7.79,8.08,6.53,12.65,10.93,15.6,11.48,9.63,11.17,11.24,0.89,3.69,7.48,5.23,8.81,7.92
1950,5,8.75,11.93,11.08,15.53,14.16,15.54,15.22,10.06,10.06,9.97,13.25,16.27,17,15.91,18.37,18.12,19.46,18.38,17.23,18.22,18.23,6.94,7.58,11.12,9.96,11.9,9.79
1950,6,12.89,14.84,15.1,18.24,17.27,19.94,19.19,15.13,15.01,14.78,18.71,20.6,21.02,19.38,22.22,22.37,21.97,22.17,21.47,21.9,21.42,11.08,9.38,11.16,11.32,10.97,9.79
1950,7,15.02,16.74,16.75,19.9,18.38,20.21,19.62,16.93,16.66,17.77,21.32,20.29,21.35,19.9,23.09,23.07,22.64,21.67,20.7,21.31,20.33,15.14,13.1,14.47,14.02,13.8,12.62
1950,8,13.17,14.94,14.42,17.66,15.85,18.49,17.71,14.95,14.95,17.35,19.8,18.7,18.89,17.41,21.89,21.05,22.64,20.65,19.28,20.14,19.82,15.22,14.25,16.67,14.32,13.82,12.61
1950,9,10.2,12.63,11.99,15.75,13.66,13.12,13.3,10.77,10.13,11.27,14.25,13.83,16.13,14.85,18.86,17.92,22.04,16.7,14.85,16.87,18.71,10.31,9.83,14.57,11.96,12.73,10.36
1950,10,3.6,6.32,5.28,8.14,6.46,8.22,7.53,4.92,4.4,4.91,8.01,9.43,8.66,7.61,11.67,10.53,17.7,10.39,8.82,11.95,13.92,3.74,4.61,11.63,8.1,12.04,8.6
1950,11,-0.31,2.97,1.27,4.77,2.62,3.33,3.22,-0.18,-2.04,-2.53,1.54,4.49,5.25,4.08,8.11,7.22,14.7,7.14,5.72,7.58,8.94,-1.86,-1.34,6.84,2.48,7.38,2.93
