YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-13.21,-7.53,-10.45,-5.34,-7.57,-6.61,-6.79,-10.44,-11.85,-11.74,-4.79,-4.21,-2.83,-4.87,3.42,1.23,11.08,0.11,-2.45,0.9,3.91,-4.84,-5.35,4.21,0.17,5.26,0.12
1950,2,-3.1,0.84,-0.6,4.22,1.67,-1.8,0.07,-5.3,-7.64,-8.92,-2.75,-0.73,4.82,3.51,6.4,6.12,11.38,4.77,3.15,3.98,5.5,-3.53,-2.73,4.95,1.51,6.67,3.16
1950,3,-2.81,0.28,-2.18,2.26,0.2,2.02,1.7,-2.96,-3.01,-2.3,1.51,4.05,5.14,3.33,9.7,7.91,15.19,8.2,6.17,8.1,8.88,-2.06,-0.91,5.02,2.14,5.85,3.08
1950,4,0.35,3.12,0.82,4.61,2.45,4.27,3.74,0.42,-0.51,-0.37,2.86,5.41,7.24,5.26,11.35,10.23,16.97,9.68,7.8,9.11,10.72,0.17,1.84,7.78,5.03,8.76,5.82
1950,5,4.85,8.32,6.95,10.68,9.17,12.7,11.4,7.64,8.18,8.91,11.68,14.42,13.74,11.88,18.36,16.55,21.5,17.59,16.1,17.21,16.52,6.12,6.93,10.06,8.21,10.9,9.42
1950,6,12.02,14.44,13.13,16.33,14.44,16.11,15.47,12.85,12.88,14.08,15.97,16.61,17.58,16.08,21.55,19.95,23.9,20.37,18.8,19.63,19.42,11.26,12.57,14.64,13.06,15.26,13.26
1950,7,16.21,18.82,17.41,20.41,18.49,19.46,19.22,17.12,16.74,16.45,18.26,19.8,20.91,19.69,23.1,22.42,24.48,22.51,21.56,21.93,21.92,13.95,13.81,17.41,15.18,16.08,13.82
1950,8,15.48,18.45,17.28,20.06,18.16,18.9,18.82,16.34,15.77,15.24,16.7,19.13,20.33,19.26,22.91,21.9,24.8,22.03,20.91,21.55,22.36,11.94,12.47,16.11,14.05,15.6,13.5
1950,9,9.79,13.19,12.24,15.62,13.98,14.94,14.98,12.2,11.74,11.15,13.21,15.12,16.82,15.48,20.67,19.15,23.8,19.12,17.59,18.41,19.52,10.25,9.75,16.04,12.47,14.34,10.88
1950,10,2.29,5.93,5.4,8.39,7.67,11.53,10.68,7.17,7.2,6.04,8.63,11.74,10.61,9.6,14.71,12.93,19.37,14.01,12.35,14.27,16.04,5.82,5.55,10.27,7.47,9.29,7.14
1950,11,1.92,4.84,3.17,6.62,4.2,2.73,3.41,0.4,-1.83,-2.43,3.16,4.32,6.66,5.46,9.99,8.84,15.72,8.4,6.36,9.06,10.99,1.92,0.89,8.42,5.45,9.21,3.74
1950,12,-5.67,-1.69,-2.12,1.68,1.06,3.27,3.66,-0.58,-2.07,-3.8,0.15,4.37,4.72,3.68,10.02,7.37,14.6,9.02,7.46,7.68,7.12,-2.83,-2.87,3.95,0.68,4.65,1.99
1951,1,-10.46,-5.1,-7.74,-2.17,-4.87,-6.46,-5.24,-8.87,-11.92,-13.85,-6.24,-4.38,-0.09,-2.26,6.25,3.98,12.78,3.14,0.18,2.21,4.84,-7.16,-8.61,2.24,-1.94,2.49,-3.29
1951,2,-9.87,-4.83,-7.05,-1.88,-4.27,-4.57,-4.03,-7.7,-9.48,-10.57,-3.13,-1.99,-0.31,-1.84,3.92,2.33,10.68,2.16,0.06,3.08,4.91,-4.08,-5.12,4.94,1.15,6.38,0.14
