YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-9.23,-4.72,-7.6,-2.02,-4.76,-5.23,-4.28,-9.2,-11.85,-11.93,-5.1,-2.77,0.6,-1.54,6.56,4.13,11.84,3.88,1.37,2.75,3.76,-6.64,-6.7,2.36,-1.16,4.5,-0.29
1950,2,-7.09,-2.81,-4.98,-0.42,-3.11,-2.84,-2.65,-6.48,-7.68,-7.88,-2.31,-0.76,1.37,-0.5,7.22,4.63,11.72,5.27,2.64,4.66,6.15,-3.31,-3.12,4.97,1.72,6.17,1.49
1950,3,-4.5,-0.11,-2.82,2.32,0,2.09,2.06,-2.41,-2.86,-2.63,1.21,3.54,5.18,3.41,10.42,7.93,14.07,8.9,6.49,7.72,7.99,-1.52,-0.67,6.41,3.07,7.05,2.89
1950,4,1.43,4.45,2.98,6.42,4.7,6.32,5.74,2.56,3.17,3.81,6.36,7.86,8.64,7.04,13.45,11.46,16.42,12.36,10.14,12.32,12.65,4.37,4.97,9.85,7.49,10.26,6.49
1950,5,9.68,12.02,11.53,13.61,12.4,12.99,12.84,10.04,9.59,8.82,10.87,13.32,14.94,13.71,18.86,17.05,20.51,17.83,16.16,15.46,12.64,6.93,8.11,9.13,7.77,10.39,8.23
1950,6,14.25,16.94,16.88,19.26,18.06,18.4,18.31,14.82,13.84,12.97,16.52,18.68,20.14,19.13,22.8,21.49,22.63,22.45,21.38,20.88,18.87,12.89,12.72,13.54,13.85,15.17,12.39
1950,7,16.76,19.65,19.05,22.02,20.92,20.71,21.36,17.96,17.08,15.08,17.99,20.19,23.18,22.27,24.35,24.2,23.68,23.88,23.18,21.28,19.61,14.11,14.51,13.71,14.69,16.39,15.97
1950,8,15.66,18.25,18.2,20.92,19.69,18.86,19.8,17.89,16.14,14.91,17.29,18.5,21.91,20.81,24.21,23.37,24.33,22.91,21.97,20.12,18.37,14.91,15.48,14.39,14.9,16.43,16.53
1950,9,12.51,15.35,13.99,17.32,15.05,15.06,15.47,12.09,10.7,10.09,13.53,15.2,17.9,16.58,21.14,19.74,23.01,19.88,18.3,17.89,17.02,10.67,10.45,13.12,12.1,14.61,11.93
1950,10,5.95,9.34,8.08,11.47,9.62,10.81,10.71,7.38,6.13,4.74,7.75,11.21,12.81,11.46,16.54,15.04,20.16,14.81,13.16,14.06,14.21,5.03,4.52,9.6,7.84,10.28,6.5
1950,11,-1.8,2.36,0.61,4.94,2.59,2.06,3.07,-1.55,-4.25,-5.31,-0.15,3.45,7.11,5.15,12.7,10.72,17.83,9.46,7.29,7.72,8.95,-3.15,-4.25,3.96,0.97,4.28,0.08
1950,12,-6.98,-3.07,-4.87,-0.15,-2.52,-2.64,-2.03,-6.29,-8.85,-9.58,-3.82,-0.82,2.14,0.27,7.43,5.31,13.02,5.28,2.99,3.99,5.09,-6.2,-6.02,1.39,-2.06,2.99,-1.07
1951,1,-11.13,-5.81,-8.33,-2.36,-4.69,-3.94,-3.16,-8.84,-11.16,-12.69,-4.9,-1.73,0.61,-1.35,6.32,3.88,11.69,4.63,2.31,3.79,5.25,-6.79,-7.39,2.19,-1.4,4.08,-0.96
1951,2,-10.4,-4.55,-7.75,-1.44,-4.41,-3.42,-3.47,-8.69,-8.97,-8.99,-2.46,-0.64,1.46,-0.83,6.88,4.73,11.1,4.98,2.59,4.94,6.31,-3.87,-3.39,5.7,2.04,6.91,2.5
1951,3,-6.04,-0.97,-3.95,2.14,-0.75,-0.16,0.13,-7.84,-8.17,-7.5,0.01,2.43,5.4,3.1,11.21,8.76,15.12,9.43,6.98,8.38,8.75,-1.49,-1.79,6.89,3.58,7.65,3.81
1951,4,0.74,5.04,2.78,8.1,6.11,7.67,7.69,2.42,2.88,3.57,7.01,8.92,10.94,9.18,15.44,13.56,17.82,14.38,12.67,13.35,12.59,4.71,5.92,9.67,7.49,10.15,7.63
1951,5,9.08,12.4,11.87,14.79,13.51,13.85,14.11,10.3,9.76,9.13,11.53,14.05,16.7,15.27,19.97,18.68,21.28,19.16,17.62,17.25,15.96,7.73,8.82,11.41,10.11,11.66,9.3
1951,6,13.28,15.91,15.4,18.18,17.1,18.79,18.84,15.3,14.78,14.31,16.41,18.34,20,18.86,22.64,21.53,22.72,22.59,21.79,20.2,18.17,12.48,13.03,13.27,13.25,14.37,12.65
1951,7,16.92,19.23,19.08,21.27,20.16,20.2,20.69,17.97,16.97,15.6,18.33,19.76,22.08,21.09,23.82,23.08,23.34,24.01,23.19,21.38,19.35,15.91,16.57,16.57,16.79,17.57,16.89
1951,8,16.02,18.63,17.92,20.67,19.07,18.75,19.27,16.65,15.48,14.1,16.53,18.53,21.49,20.33,23.33,22.78,23.6,22.73,21.85,20.27,18.76,13.97,15.06,15.54,15.21,16.67,16.91
1951,9,11.76,15,14.13,17.3,15.44,15.67,15.96,13.05,11.88,11.4,15.13,16.02,18.33,16.97,21.3,20.31,22.91,20.21,18.93,17.97,16.67,12.54,11.72,16.6,13.73,15.76,12.75
1951,10,6.34,9.1,7.59,10.55,8.25,8.01,8.45,5.63,4.18,3.34,6.16,8.55,11.22,9.79,14.8,13.49,19.76,13.24,11.24,12.24,13.25,4.83,4.13,12.37,8.56,11.95,6.8
1951,11,1.57,5.43,4.23,7.15,5.04,3.47,4.73,2.36,-0.45,-2.62,0.48,3.97,7.97,6.51,12.35,10.61,17.01,10.11,8.09,7.66,8.2,-2.4,-2.35,6.04,2.12,6.78,1.78
1951,12,-5.28,-1.41,-2.59,0.98,-1.03,-0.27,0.06,-2.21,-4.4,-6.3,-2.42,1.05,2.99,1.35,8.36,6.19,13.39,6.59,4.44,5.22,6.02,-5.6,-5.75,2.07,-1.61,3.43,-1.02
