YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-9.39,-4.54,-6.84,-1.32,-3.81,-3.12,-2.75,-6.95,-9.45,-11.49,-2.34,-0.36,1.81,-0.49,8.38,6.05,13.67,5.53,3.35,5.91,8.23,-5.42,-6.27,4.68,-0.04,3.58,-1.73
1950,2,-14.51,-9.91,-13.53,-5.28,-8.96,-7.77,-7.67,-14.95,-16.74,-14.38,-4.71,-3.96,-1.67,-4.46,4.9,2.61,12.25,2.04,-0.46,3.43,6.78,-3.54,-5.28,6.1,1.05,5.11,0.87
1950,3,-0.71,2.62,2.17,5.16,4.23,7.26,6.52,3.81,3.06,2.37,4.54,8.43,7.78,6.49,12.73,10.37,16.18,11.92,10.15,11.75,13.16,-0.82,-0.33,6.52,2.76,4.89,2.05
1950,4,2.37,5.64,4.72,7.99,6.59,8.78,7.8,5.01,4.32,4.49,7.4,10.12,9.35,8.17,13.69,11.71,17.68,13.19,11.22,14.31,16.42,2.98,2.67,8.91,6.14,7.47,4.07
1950,5,7.5,10.21,8.54,11.99,10.38,12.68,12.03,7.79,7.93,7.87,11.53,13.86,14.09,12.47,18.42,16.65,20.93,17.67,15.89,17.92,19.4,6.6,6.85,9.97,9.12,10.02,8.71
1950,6,11.53,14.38,12.75,16.36,14.45,16.98,16.29,11.46,11.3,11.88,15.98,17.99,18.62,16.9,22.57,21.15,23.51,21.72,20.43,21.56,21.98,8.38,8.81,9.78,9.68,11,10.39
1950,7,17.69,20.07,18.95,21.55,19.96,22.15,21.32,17.94,17.89,17.56,22.13,22.69,22.3,21.1,25.27,24.1,24.98,24.15,23.58,23.17,21.4,14.22,12.81,14.07,13.56,13.39,12.87
1950,8,15.28,18.14,16.74,20.08,18.3,20.51,19.84,15.34,14.94,14.48,19.52,20.62,21.48,20.16,24.47,23.38,25.05,23.14,22.42,21.49,21.08,12.79,10.54,12.93,11.99,11.91,11.04
1950,9,10.05,13.97,12.9,17.12,15.49,17.1,16.85,12.65,12.12,12.02,15.69,17.38,18.32,17.17,20.44,19.68,22.95,19.62,18.66,19.06,18.88,9.39,7.14,14.01,9.9,10.28,8.13
1950,10,7.81,10.32,9.24,11.85,10.12,10.55,10.9,7.66,6.26,5.01,7.89,10.75,12.58,11.29,15.53,14.51,19.71,14.27,13.05,13.57,15.02,3.87,3.6,11.73,7.42,10,6.1
1950,11,5.58,8.56,7.82,10.73,8.97,7.79,8.87,5.19,2.3,-1.03,3.92,8.18,12.06,10.44,16.26,14.54,19.15,14.14,12.34,11.44,12,-0.14,-1.54,7.25,3.12,6.06,1.07
1950,12,-3.5,-0.02,-1.31,2.67,0.5,1.68,1.72,-1.72,-4.43,-7.21,-0.09,3.24,3.88,2.36,9.4,6.9,14.65,8.02,5.57,7.65,9.53,-3.32,-4.18,5.66,1.03,4.95,-0.61
1951,1,-11.62,-6.56,-8.83,-3.46,-5.91,-5.53,-5.09,-7.91,-10.05,-11.92,-5.76,-3.58,-0.54,-2.74,6.12,3.46,12.54,3.45,0.87,2.78,5.88,-5.62,-6.34,7.1,1.05,5.38,-0.97
1951,2,-6.81,-2.02,-4.3,1.09,-1.26,-1.65,-0.7,-6.99,-9.72,-11.7,-2.95,0.85,4.39,2.09,11.05,8.26,15.02,8.8,6.12,7.67,10.11,-6.49,-7.46,4.58,-0.42,3.39,-2.46
1951,3,-1.09,2.69,1.43,5.14,3.43,5.97,4.93,1.24,1.16,-0.62,5.97,7.9,7.38,5.73,12.45,10.04,16.39,11.22,9.14,11.83,13.75,2.54,0.71,10.45,6.6,7.95,2.07
1951,4,1.76,5.04,3.75,7.4,6.06,10.1,8.58,4.86,5.51,6.31,10.66,12.37,10.37,8.73,16.39,13.64,19.01,15.58,13.48,16.48,18.21,6.5,5.78,12.66,9.58,10.13,6.01
1951,5,7.79,10.22,9.09,12.21,10.49,13.03,12.06,8.51,8.88,9.2,12.07,14.11,13.71,12.4,17.87,15.92,20.64,17.18,15.39,17.35,18.71,6.56,7.34,11.39,9.9,10.97,9.43
1951,6,11.76,14.42,13.03,16.06,14.44,17.16,16.07,12.2,12.36,13.16,17.06,18.46,17.46,16.03,22.37,20.09,23.83,21.7,20,22.18,22.65,9.24,9.93,11.02,11.18,11.81,11.13
