YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-4.46,-1.74,-3.48,0.86,-0.86,0.61,0.2,-3.87,-4.87,-3.87,3.67,3.95,3.02,1.82,8.24,5.68,15.67,7.06,4.7,8.62,10.71,1.36,0.9,8.02,4.67,9.01,5.44
1950,2,-0.61,1.53,-0.14,2.72,0.98,2.45,2.32,0.32,-1.18,-1.1,4.98,4.5,4.05,2.84,9.39,7.05,14.52,8.25,5.82,10.43,13.37,4.76,4.65,10.88,8.2,12.4,9.18
1950,3,4.33,8.19,6.01,9.88,8.52,8.19,8.78,4.17,3.29,2.84,6.76,9.42,12.51,10.9,17.44,15.48,20.69,15.35,13.07,13.87,15.81,6.45,5.82,13.97,10.59,13.44,9.11
1950,4,10.68,13.32,12.34,14.43,13.71,14.95,14.61,11.22,10.99,10.71,13.52,16.08,16.49,15.27,20.41,18.45,23.66,19.78,17.9,20.03,21.03,9.2,9.72,13.56,11.41,13.85,11.02
1950,5,13.43,16.24,15.24,18.01,16.49,18.51,17.7,14.04,14.23,14.99,17.97,20.12,19.51,18.09,23.6,22.12,26.66,22.42,21.01,22.95,23.99,13.91,13.33,17.27,15.78,17.14,13.69
1950,6,18.97,21.6,20,23.26,20.51,22.69,21.95,19.04,19.42,20.03,21.18,22.86,23.43,21.99,26.85,25.65,29.08,26.05,24.22,25.79,26.65,17.15,18.7,20.74,19.18,20.17,18.83
1950,7,20.16,23.21,21.94,25.66,23.36,25.69,25.25,21.35,21.31,20.35,23.48,26.2,27.36,25.67,30.36,29.62,30.59,29.59,28.74,28.18,28.19,19.12,18.7,22.17,20.34,21.04,19.27
1950,8,18.51,22.31,21.07,25.9,23.48,24.84,25,20.19,20.38,20.69,22.49,25.25,27.49,26.09,30.07,29.12,30.24,29.42,28.59,27.72,27.61,19.09,19.15,22.85,20.12,20.53,17.96
1950,9,17.48,20.39,20.19,23.13,21.68,22.12,22.83,18.97,17.75,15.91,18.7,22.55,24.19,23.07,27.51,26.14,29.36,27.22,26.16,25.82,26.11,14.51,13.18,19.26,16.24,17.97,14.75
1950,10,11,13.69,12.98,16.23,14.48,15.99,15.27,13.08,12.64,12.5,14.87,16.73,16.73,15.62,19.69,18.47,24.67,18.81,17.32,19.32,20.85,12.47,12.24,17.99,14.55,17.46,13.16
1950,11,6.67,9.27,8.03,10.75,9,9.72,9.63,6.96,5.56,5.8,9.57,10.97,11.48,10.38,14.46,13.52,19.35,13.95,12.24,14.8,16.24,7.34,7.29,13.55,9.74,13.62,9.26
1950,12,0.73,3.94,2.37,5.95,3.91,4.57,4.52,1.2,-0.46,-0.59,4.7,6.84,7.12,5.88,10.94,9.36,16.99,10.31,8.56,10.79,11.94,1.57,1.95,8.36,5.1,9.24,6.11
1951,1,2.39,5.6,4.11,7.25,5.75,5.71,6.14,2.37,0.14,-0.56,2.98,6.85,8.7,7.38,13.23,11.43,17.89,11.53,9.62,10.5,11.2,0.26,1.17,8.29,4.32,9,5.49
1951,2,3.61,8,5.93,9.73,8.18,7.84,8.19,2.24,0.65,1.56,6.91,10.35,11.37,10.07,14.78,13.4,18.74,14.39,12.9,14.56,15.48,3.83,4.92,11.39,8.5,12.21,8.66
1951,3,6.99,10.91,9.55,13.49,12.1,13.41,13.54,8.64,7.97,8.02,10.84,14.3,16.05,14.66,19.84,17.96,22.84,18.52,16.64,17.08,16.78,6.19,6.29,12.03,9.37,12.92,9.35
1951,4,9.21,12.92,11.27,14.8,13.2,15.36,14.54,10.08,10.15,10.91,14.2,16.98,16.49,15.2,20.19,18.74,24.28,19.29,17.44,20.05,21.22,9.84,10.54,15.01,12.66,15.23,12.76
1951,5,12.79,15.41,13.7,17.01,14.91,17.61,16.45,13,14.01,15.48,17.69,18.83,18.02,16.77,21.98,20.58,26.34,21.31,19.31,22.41,23.59,13.4,15.18,17.64,16.14,17.57,16.97
1951,6,18.33,21.27,19.57,23.29,20.71,22.55,22.13,18.02,18.18,18.51,21.04,23.29,23.83,22.44,26.83,25.87,28.54,26.34,25.07,26.37,27.01,15.72,17.31,18.97,17.54,18.81,17.95
1951,7,21.12,24.21,23.58,27.13,25.16,26.96,27.06,23.05,23.05,21.49,23.97,26.48,28,26.71,29.94,29.45,30.2,29.57,28.47,28.33,28.26,19.33,18.46,22.07,20.25,21.24,18.65
1951,8,20.28,23.08,21.22,24.67,21.79,22.13,22.21,18.9,18.1,17.56,21.12,23.07,25.48,23.39,28.97,28.13,29.83,27.66,26.44,26.9,28.02,18.52,17.76,22.13,20.54,21.36,19.58
1951,9,17.38,20.66,20,23.39,21.74,21.08,22.38,15.54,12.57,11.04,15.67,21.62,24.26,23.14,27.11,25.68,28.89,26.1,24.58,25.02,26.29,13.94,11.97,19.91,16.48,18.23,15.03
1951,10,10.54,12.95,12.57,14.94,13.23,15.28,14.56,13.67,13.42,13.39,15.41,16.01,15.63,14.41,20.72,18.15,25.4,18.93,16.83,19.19,21.21,12.51,11.68,17.14,14.04,16.52,12.67
1951,11,9.1,11.56,10.15,12.41,10.8,9.95,10.25,8.6,7.53,7.07,9.09,10.71,12.54,11.63,14.64,14.06,19.83,13.12,11.85,13.23,15.13,6.26,5.97,12.19,9.13,13.07,7.23
1951,12,2.72,5.26,3.93,6.79,5.39,5.45,5.49,2.69,1.49,1.51,5.16,6.97,7.48,6.67,10.33,9.27,15.34,10.08,8.5,10.63,11.91,3.56,3.36,9.16,6.46,10.73,6.31
1952,1,1.41,4.85,3.42,7.25,5.59,5.94,5.88,3.06,1.08,0.5,5.45,7.36,8.64,7.13,12.02,10.94,17.01,10.62,8.91,10.94,11.46,3.04,2.05,9.14,5.24,10.04,4.64
1952,2,1.62,5.19,2.47,6.88,4.8,4.78,5.32,0.53,-0.36,-0.22,5.77,7.28,9.1,7.43,14,11.87,18.3,12.73,10.57,12.84,14.77,5.64,4.14,12.76,9,13.2,7.66
1952,3,4.68,7.58,5.98,9.46,8.19,10.18,9.95,5.85,6.48,7.74,10.93,12.42,12.06,10.75,16.44,14.5,19.97,15.81,13.97,16.3,17.5,7.15,7.86,13.06,10.22,13.65,10.31
1952,4,10.51,13.59,12.3,15.24,13.65,14.57,14.43,10.75,10.31,9.66,12.38,15.73,16.57,15.35,21.14,19.17,24.73,19.89,17.55,19.62,19.94,8.05,7.26,13.05,10.42,12.87,9.37
1952,5,16.05,18.93,18.43,20.87,19.81,21.69,21.23,18.52,18.75,17.19,19.44,21.68,21.95,21.08,24.24,23.29,26.05,24.29,22.91,24.29,24.88,12.95,11.86,15.53,13.91,14.8,12.77
1952,6,20.27,23.1,20.59,24.01,21.3,22.74,22.15,18.22,18.44,19.42,22.24,23.72,24.08,22.76,27.4,26.02,28.84,26.85,25.2,27.09,27.53,17.39,17.73,19.73,18.59,19.45,18.63
1952,7,23.17,25.45,23.69,26.85,24.19,24.45,24.47,21.69,20.6,19.66,22.76,24.71,26.38,25.03,28.86,28.13,29.47,28.2,27.11,27.48,28.32,19.49,18.02,22.59,20.37,21.23,18.06
1952,8,20.95,24.32,23.19,26.87,24.27,24.21,24.51,21.89,21.21,20.53,21.75,24.45,26.45,25.25,28.24,27.74,29.21,27.84,26.8,27.11,27.28,18.06,18.66,23.67,19.9,21.7,18.54
