YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-2.64,1.1,-0.82,2.61,1.08,1.8,1.65,-0.82,-1.73,-1.55,3.31,3.54,4.53,2.98,9.63,7.76,16.23,6.94,4.81,7.5,10.06,3.02,2.66,10.35,6.78,11.12,6.76
1950,2,4.39,7.36,6.3,10.19,8.16,5.51,6.93,2.8,1.11,0.37,4.9,6.38,10.84,9.71,12.33,12.01,16.69,10.93,9.5,10.34,12.03,4.09,4.64,11.22,8.12,12.38,9.25
1950,3,4.56,6.94,5.06,8.63,6.97,8.61,8.27,4.53,4.47,5.25,8.5,10.45,11.19,9.59,15.42,13.74,20.44,14.08,12.23,14.1,15.15,5.32,6.16,11.72,8.94,12.12,9.28
1950,4,7.06,9.42,7.6,10.86,9.09,10.77,10.21,7.35,6.64,6.89,9.81,11.89,13.16,11.43,17.19,15.95,22.36,15.69,13.9,15.34,17.27,7.37,8.49,14.48,11.63,14.49,11.62
1950,5,11.24,14.13,13.12,16.26,14.93,18.07,16.96,13.53,14.12,14.78,17.22,19.58,19.08,17.3,23.78,21.91,27.16,22.87,21.27,22.85,23.08,12.39,12.87,16.67,14.57,16.48,14.95
1950,6,17.32,19.55,18.5,21.66,19.81,21.7,20.97,18.06,18.24,19.49,21.45,22.25,23.09,21.51,27.34,25.59,30.02,26.08,24.32,25.42,25.93,17,17.99,21.62,19.31,20.95,18.59
1950,7,21.21,23.92,22.5,25.83,23.7,25.08,24.64,22.13,21.87,22.13,24.6,25.9,26.5,25.1,29.12,28.28,30.77,28.46,27.3,28.54,28.97,20.33,20.06,25.42,22.27,22.67,19.38
1950,8,20.35,23.47,22.29,25.49,23.3,24.51,24.17,21.38,21,21.09,23.3,24.98,25.87,24.59,28.97,27.74,31.16,28.01,26.66,27.64,28.65,18.74,18.78,23.85,20.87,21.97,18.92
1950,9,15.31,18.43,17.46,20.78,19.08,20.59,20.3,17.36,17.03,16.72,19.34,21.1,21.95,20.64,26.07,24.34,29.71,24.61,22.96,24.34,25.69,16.18,15.58,22.46,18.65,20.44,16.51
1950,10,8.7,11.65,11.28,13.94,13.21,16.9,15.94,12.69,12.74,11.84,14.16,17.23,15.89,14.95,19.94,18.12,24.95,19.29,17.6,19.74,21.7,11.58,11.29,16.26,13.34,15.16,12.64
1950,11,8.33,10.71,9.43,12.32,10.33,9.34,9.77,7.17,5.57,5.28,9.97,10.73,12.4,11.42,15.5,14.32,20.89,14.24,12.35,15.03,17.13,8.67,7.72,14.9,11.77,15,9.71
1950,12,2.46,5.38,5.13,8.06,7.58,9.52,9.76,6.24,5,3.82,7.07,10.56,10.63,9.75,15.33,12.93,19.6,14.61,13.23,13.51,12.94,4.59,4.54,10.35,7.36,10.89,8.26
1951,1,-0.81,2.85,0.99,4.98,3,1.9,2.77,0.19,-1.83,-2.98,2.17,3.43,6.72,5.02,12.18,10.11,17.97,9.59,7.06,8.75,11.1,1.45,0.43,8.91,5.38,8.93,4.22
1951,2,-0.37,3.12,1.55,5.48,3.66,3.53,3.91,1.03,-0.15,-0.62,4.93,5.75,7.01,5.7,10.59,9.21,16.2,9.17,7.49,9.94,11.46,3.73,2.99,11.38,7.82,12.14,6.86
1951,3,3.65,6.42,4.61,8.12,6.28,7.12,6.94,3.9,3.58,3.52,6.55,8.68,9.86,8.59,13.11,11.74,18.76,11.75,10.32,11.83,12.86,4.88,5.57,11.84,8.92,12.24,9.59
1951,4,10.07,12.57,11.28,14,12.67,13.73,13.53,9.91,9.69,9.89,12.1,14.5,15.81,14.42,19.52,18.16,23.09,18.72,17.24,17.78,18.03,8.35,9.37,13.66,11.15,13.49,11.33
1951,5,13.38,16.26,14.08,17.36,15.38,16.68,15.89,13.24,13.79,14.94,16.3,17.16,17.79,16.62,20.51,19.4,24.96,19.52,17.71,19.76,21.05,12.98,13.57,18.07,15.23,16.89,14.14
1951,6,18.28,21.15,19.18,23.15,20.96,22.95,22.31,18.18,18.12,18.48,20.87,23.22,24.29,22.83,26.5,25.95,29.01,25.79,24.7,25.63,26.1,16.41,16.31,21.46,18.53,19.9,16.53
