YYYY,MM,ID_01,ID_02,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27
1950,1,-0.01,3.41,1.75,5.8,3.95,4.57,4.79,1.64,-0.05,-1.3,5.21,6.68,8.25,6.5,13.73,11.7,18.63,11.48,9.59,11.82,13.77,2.85,2.15,10.51,6.75,9.72,5.36
1950,2,-3.33,-0.29,-2.69,2.99,0.43,1.34,1.38,-3.66,-4.79,-3.17,3.6,4.16,5.76,3.7,11.05,9.12,17.41,8.82,6.77,9.94,12.62,4.22,2.85,11.88,7.64,11.13,7.46
1950,3,6.42,9.03,8.72,11.18,10.4,12.85,12.2,9.81,9.25,8.92,10.8,13.89,13.37,12.28,17.68,15.56,21.17,16.96,15.35,16.9,18.21,6.53,6.58,12.37,9.08,10.93,8.27
1950,4,9.07,11.66,10.92,13.74,12.52,14.59,13.59,11.01,10.65,11.11,13.44,15.77,15.01,13.98,18.96,17.09,22.98,18.53,16.64,19.57,21.78,9.64,9.17,15.44,12.39,13.7,10.06
1950,5,13.18,15.53,14.05,17.32,15.69,17.9,17.17,13.34,13.64,13.82,16.97,18.99,19.15,17.6,23.62,21.74,26.58,22.85,20.87,23.15,25.03,12.87,12.91,17.39,15.62,16.41,14.41
1950,6,16.84,19.56,18.01,21.66,19.61,22.05,21.31,16.73,16.66,17.33,21.11,23.07,23.77,21.97,28.07,26.48,29.55,27.13,25.54,27.06,28.16,15.14,14.79,18.66,17.13,17.95,15.93
1950,7,22.7,25.28,24.11,27.17,25.22,27.81,26.72,23.09,23.16,23.32,27.92,28.52,27.87,26.48,31.46,30,31.34,30.26,29.37,29.52,28.47,20.53,19.42,22.93,21.45,21.07,19.2
1950,8,20.19,23.18,21.75,25.53,23.39,26,25.04,20.38,20.13,20.27,25.09,26.49,26.94,25.41,30.53,29.18,31.4,29.12,28.15,28,28.03,19.39,17.39,22.06,20.05,19.7,17.48
1950,9,15.41,19.16,18.17,22.52,20.72,22.5,22.18,17.93,17.51,17.55,21.19,22.91,23.76,22.52,26.03,25.23,28.94,25.25,24.12,24.96,24.93,15.86,13.83,21.18,16.89,17.41,14.17
1950,10,13.21,15.47,14.46,17.01,15.28,15.82,16.02,13.02,11.95,11.26,14.05,16.25,17.63,16.43,20.54,19.48,25.04,19.55,18.22,19.25,20.99,10.57,10.14,17.84,13.66,16.39,11.86
1950,11,11.38,13.99,13.29,15.89,14.33,13.25,14.21,10.89,8.58,6.15,10.2,13.68,17.1,15.69,21.06,19.4,24.17,19.19,17.41,16.86,17.5,6.82,5.56,12.93,9.28,11.83,7.45
1950,12,4.19,6.83,5.82,8.94,7.19,8.04,8.1,5.4,3.39,1.57,6.89,9.32,9.89,8.71,14.54,12.4,19.55,13.38,11.23,13.16,14.81,4.36,3.59,11.33,7.5,10.7,6.12
1951,1,-1.47,1.98,0.38,4.23,2.45,2.77,3.01,1.02,-0.32,-1.52,2.7,4.22,6.44,4.8,11.8,9.61,17.69,9.59,7.42,9.09,11.56,2.63,2.12,12.45,7.49,11.1,6.02
1951,2,1.89,5.37,3.66,7.77,5.92,5.73,6.37,1.7,-0.16,-1.35,4.84,7.69,10.43,8.6,16.05,13.62,19.87,14.2,11.81,13.28,15.37,2.1,1.37,10.52,6.48,9.72,4.95
1951,3,6.17,9.14,8.24,11.22,9.89,11.92,11.06,7.93,7.92,6.61,11.9,13.57,13.19,11.84,17.49,15.37,21.42,16.48,14.56,17.03,18.74,8.99,7.37,15.66,12.13,13.48,8.41
1951,4,8.61,11.29,10.23,13.34,12.14,15.51,14.19,10.96,11.63,12.51,16.26,17.59,15.88,14.46,21.39,18.8,24.22,20.69,18.6,21.61,23.62,12.57,11.74,18.75,15.29,16.03,11.61
1951,5,13.56,15.62,14.68,17.51,15.85,18.14,17.18,14.01,14.37,14.83,17.44,19.24,18.92,17.61,23.07,21.14,26.24,22.4,20.49,22.69,24.22,12.83,13.45,18.27,16.01,17.28,15.12
