,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
1990,1,AK,Final,"17,477","181,752",.,9.62,"15,818","178,259",.,8.87,"3,636","41,610",.,8.74,.,.,.,.,"1,918","14,816",.,12.95,"38,848","416,438",.,9.33
1990,1,AL,Final,"123,332","2,070,093",.,5.96,"54,495","820,415",.,6.64,"87,762","2,099,546",.,4.18,.,.,.,.,"2,851","53,954",.,5.28,"268,440","5,044,008",.,5.32
1990,1,AR,Final,"72,506","1,026,320",.,7.06,"30,966","474,988",.,6.52,"37,046","782,491",.,4.73,.,.,.,.,"3,117","47,600",.,6.55,"143,635","2,331,399",.,6.16
1990,1,AZ,Final,"109,332","1,396,499",.,7.83,"82,694","1,081,793",.,7.64,"43,274","809,797",.,5.34,.,.,.,.,"7,833","151,064",.,5.19,"243,133","3,439,153",.,7.07
1990,1,CA,Final,"597,161","6,168,009",.,9.68,"508,517","6,011,774",.,8.46,"268,759","4,454,664",.,6.03,.,.,.,.,"32,100","869,565",.,3.69,"1,406,536","17,504,013",.,8.04
1990,1,CO,Final,"71,325","1,046,805",.,6.81,"65,130","1,158,963",.,5.62,"24,488","545,387",.,4.49,.,.,.,.,"4,054","58,780",.,6.90,"164,996","2,809,935",.,5.87
1990,1,CT,Final,"112,085","1,189,718",.,9.42,"82,881","957,848",.,8.65,"36,000","488,530",.,7.37,.,.,.,.,"4,057","35,346",.,11.48,"235,023","2,671,442",.,8.80
1990,1,DC,Final,"9,483","168,767",.,5.62,"23,529","447,252",.,5.26,"9,519","237,960",.,4.00,.,.,.,.,"1,600","29,484",.,5.43,"44,131","883,463",.,5.00
